DateTime,AddedIPs,RemovedIPs
1608027778,32,31
1608028468,5,14
1608030825,12,18
1608033007,18,15
1608034331,11,5
1608035939,0,2499
1608039271,2541,0
1608040947,14,13
1608042871,26,8
1608043997,15,6
1608045341,12,7
1608046508,9,17
1608048333,14,13
1608050068,15,6
1608052473,15,11
1608053665,7,14
1608055818,10,16
1608057902,19,37
1608059099,11,16
1608060211,5,3
1608060872,7,16
1608063210,24,8
1608064468,4,9
1608065754,5,6
1608067122,71,8
1608069028,211,16
1608070251,90,43
1608071664,6,40
1608072841,0,2818
1608073956,2811,0
1608075266,6,20
1608076414,2,6
1608078333,5,8
1608079831,11,17
1608081636,9,15
1608083440,12,17
1608085533,6,23
1608086785,5,25
1608088889,3,17
1608090386,6,17
1608093278,22,43
1608096150,18,59
1608097825,11,24
1608099767,8,25
1608101104,6,42
1608104068,50,52
1608105388,21,9
1608107668,25,55
1608109633,18,49
1608110973,0,2532
1608112209,2513,0
1608113337,7,39
1608114870,9,29
1608116165,10,12
1608117872,7,14
1608119430,10,49
1608122043,0,2413
1608123212,2371,0
1608124981,13,16
1608125667,4,18
1608126964,0,2354
1608129268,2361,0
1608130757,73,15
1608132034,16,2
1608132865,4,17
1608134544,13,23
1608135928,4,4
1608138649,0,2410
1608140074,2372,0
1608142306,18,14
1608143667,5,13
1608145341,6,26
1608146729,16,4
1608147940,11,30
1608149788,18,11
1608151565,0,2348
1608153039,2563,0
1608154473,5,30
1608156659,8,22
1608158330,0,2524
1608160443,2492,0
1608161677,5,12
1608163017,8,3
1608164730,6,14
1608165272,1,7
1608168876,20,37
1608171470,17,23
1608172691,14,16
1608174166,10,14
1608175538,7,0
1608179142,28,36
1608182733,29,51
1608184230,13,27
1608186873,26,31
1608188868,21,31
1608190488,8,28
1608193318,25,30
1608194066,5,79
1608195407,6,40
1608197129,23,48
1608197671,6,33
1608199185,13,26
1608200732,11,4
1608201265,9,28
1608204089,21,25
1608204868,5,28
1608206341,14,57
1608207934,16,8
1608209366,18,42
1608212079,30,46
1608213255,9,15
1608215131,15,35
1608216236,4,22
1608217910,10,14
1608219273,3,9
1608220448,0,2029
1608222327,2032,0
1608223832,6,20
1608225038,15,7
1608226469,7,16
1608228385,6,19
1608230073,7,10
1608233670,18,37
1608235376,11,12
1608237267,13,70
1608239569,9,251
1608240875,126,30
1608243877,215,35
1608245432,5,16
1608248072,13,24
1608251132,14,12
1608252629,9,11
1608255273,18,21
1608256651,6,4
1608258337,4,8
1608258872,5,6
1608261936,37,8
1608262474,15,8
1608266078,36,20
1608269133,18,8
1608271846,13,19
1608273929,19,24
1608275751,141,15
1608276873,126,20
1608279932,501,34
1608281433,10,38
1608283293,17,11
1608284071,15,19
1608286648,27,14
1608287669,6,15
1608291266,29,26
1608292586,7,8
1608293853,12,12
1608294867,0,2660
1608297927,2665,0
1608299430,15,55
1608302065,19,116
1608303371,7,1
1608305137,15,13
1608305668,0,8
1608306783,4,3
1608308045,8,6
1608309264,6,9
1608310510,13,4
1608312868,28,16
