DateTime,Entries,UniqueIPs
1608014078,2277,2277
1608016217,2279,2279
1608017683,2287,2287
1608018898,2300,2300
1608021286,2306,2306
1608023358,2332,2332
1608024881,2401,2401
1608026202,2437,2437
1608027804,2437,2437
1608028484,2427,2427
1608030839,2419,2419
1608033031,2422,2422
1608034354,2426,2426
1608035996,2447,2447
1608037177,2464,2464
1608039286,2467,2467
1608040976,2466,2466
1608042888,2484,2484
1608044012,2490,2490
1608045359,2495,2495
1608046526,2485,2485
1608048349,2482,2482
1608050084,2491,2491
1608052487,2493,2493
1608053680,2486,2486
1608055837,2477,2477
1608057938,2457,2457
1608059287,2453,2453
1608060889,2448,2448
1608063224,2459,2459
1608064486,2453,2453
1608065776,2451,2451
1608067140,2509,2509
1608069046,2698,2698
1608070273,2754,2754
1608071680,2719,2719
1608072874,2715,2715
1608073974,2707,2707
1608075283,2695,2695
1608076429,2691,2691
1608078349,2686,2686
1608079848,2681,2681
1608081653,2676,2676
1608083458,2669,2669
1608085557,2651,2651
1608086817,2630,2630
1608088908,2615,2615
1608090417,2605,2605
1608093298,2582,2582
1608096169,2541,2541
1608097840,2528,2528
1608099794,2511,2511
1608101126,2478,2478
1608104083,2475,2475
1608105403,2486,2486
1608107683,2456,2456
1608109657,2425,2425
1608110997,2413,2413
1608112231,2407,2407
1608113368,2374,2374
1608114893,2356,2356
1608116185,2352,2352
1608117886,2344,2344
1608119447,2317,2317
1608122071,2285,2285
1608123229,2275,2275
1608125000,2272,2272
1608125683,2258,2258
1608126981,2255,2255
1608129284,2268,2268
1608130778,2329,2329
1608132061,2341,2341
1608132879,2329,2329
1608134576,2319,2319
1608135943,2319,2319
1608139518,2294,2294
1608140096,2283,2283
1608142323,2284,2284
1608143682,2274,2274
1608145375,2256,2256
1608146745,2267,2267
1608147974,2248,2248
1608149828,2254,2254
1608151580,2407,2407
1608153058,2468,2468
1608154500,2446,2446
1608156682,2432,2432
1608158404,2416,2416
1608160470,2399,2399
1608161696,2392,2392
1608163042,2397,2397
1608164745,2389,2389
1608165288,2383,2383
1608168893,2367,2367
1608171513,2361,2361
1608172714,2359,2359
1608174212,2354,2354
1608179160,2355,2355
1608182750,2334,2334
1608184246,2320,2320
1608186887,2312,2312
1608188900,2301,2301
1608190514,2282,2282
1608193351,2277,2277
1608194081,2203,2203
1608195423,2169,2169
1608197144,2144,2144
1608197688,2117,2117
1608199762,2108,2108
1608201282,2095,2095
1608204104,2092,2092
1608204883,2070,2070
1608206355,2027,2027
1608207949,2036,2036
1608211546,2026,2026
1608212097,1999,1999
1608213277,1994,1994
1608215147,1975,1975
1608216252,1959,1959
1608217926,1955,1955
1608219289,1949,1949
1608220463,1949,1949
1608222342,1952,1952
1608223848,1940,1940
1608225052,1949,1949
1608226485,1940,1940
1608228404,1928,1928
1608230089,1926,1926
1608233685,1917,1917
1608235406,1918,1918
1608237282,1864,1864
1608239590,1624,1624
1608240893,1723,1723
1608243893,1905,1905
1608245458,1897,1897
1608248090,1889,1889
1608251148,1891,1891
1608252647,1890,1890
1608255291,1892,1892
1608256669,1895,1895
1608258354,1892,1892
1608258890,1892,1892
1608261955,1922,1922
1608262490,1926,1926
1608266096,1943,1943
1608269151,1952,1952
1608271862,1945,1945
1608273951,1942,1942
1608275791,2067,2067
1608276891,2173,2173
1608279947,2639,2639
1608281450,2611,2611
1608283326,2614,2614
1608284087,2612,2612
1608286669,2626,2626
1608287686,2618,2618
1608291281,2620,2620
1608292602,2618,2618
1608293877,2619,2619
1608294877,2615,2615
1608299444,2582,2582
1608302081,2485,2485
1608303388,2491,2491
1608305151,2492,2492
1608305682,2485,2485
1608306805,2485,2485
1608308064,2485,2485
1608309279,2482,2482
1608310527,2492,2492
1608312883,2505,2505
1608315615,2503,2503
1608316485,2500,2500
