DateTime,AddedIPs,RemovedIPs
1608010478,7,49
1608012734,21,23
1608014068,13,6
1608016198,8,16
1608017672,9,8
1608018889,11,6
1608021277,13,23
1608023341,16,10
1608026193,27,16
1608027786,13,15
1608028474,10,10
1608030831,19,19
1608033022,26,13
1608034337,11,13
1608038635,24,17
1608039277,8,12
1608040962,13,45
1608042877,17,45
1608044003,57,19
1608045348,21,61
1608046517,20,43
1608048341,17,59
1608050074,17,39
1608052479,34,66
1608053671,17,60
1608055825,20,58
1608057917,61,43
1608059279,56,38
1608060878,52,52
1608063216,90,47
1608064474,64,56
1608065761,58,24
1608067129,65,51
1608069034,85,65
1608070259,67,11
1608071670,32,14
1608072855,34,9
1608073963,40,7
1608075274,48,11
1608076420,43,7
1608078340,85,13
1608079837,71,15
1608081643,87,15
1608083447,81,19
1608085545,114,42
1608086792,40,30
1608088898,80,25
1608090396,54,27
1608093287,91,54
1608096158,125,28
1608097831,68,19
1608099779,81,19
1608101110,61,32
1608104074,127,62
1608105394,63,17
1608107674,113,42
1608109641,61,30
1608112221,58,48
1608113351,20,22
1608114880,27,35
1608116176,19,17
1608117877,27,27
1608119437,31,38
1608122062,48,52
1608123218,18,14
1608124988,31,15
1608125674,14,6
1608128738,59,25
1608129274,11,6
1608130763,44,14
1608132046,67,12
1608132870,36,11
1608134561,77,28
1608135934,61,3
1608138660,108,50
1608140085,69,28
1608142314,85,21
1608143673,61,24
1608145356,82,28
1608146736,59,7
1608147948,43,22
1608149795,56,21
1608151571,102,66
1608153047,86,17
1608154483,62,15
1608156666,127,29
1608158341,80,14
1608160454,104,13
1608161683,50,19
1608163023,73,15
1608164737,84,13
1608165278,35,13
1608168882,214,54
1608171476,132,40
1608172703,74,46
1608174175,77,19
1608175544,55,7
1608179149,136,34
1608182740,126,32
1608184236,57,23
1608186878,126,22
1608188875,128,27
1608190495,121,24
1608193324,159,23
1608194072,24,16
1608195413,35,5
1608197135,50,19
1608197677,27,13
1608199191,35,9
1608200738,44,7
1608201272,19,21
1608204095,68,25
1608204874,19,10
1608206347,25,21
1608207940,24,6
1608209373,10,20
1608212085,32,29
1608213261,16,9
1608215137,23,15
1608216242,13,23
1608217916,20,17
1608219279,9,24
1608220454,9,10
1608222333,24,22
1608223839,22,36
1608225044,13,45
1608226475,26,19
1608228391,25,47
1608230079,30,30
1608233676,75,82
1608235385,19,51
1608237273,21,55
1608239575,38,41
1608240881,18,57
1608243883,52,56
1608245440,20,40
1608248079,37,66
1608251138,36,53
1608252636,9,65
1608255280,27,91
1608256659,15,15
1608258343,31,23
1608258878,8,44
1608261943,36,70
1608262479,11,47
1608266085,30,139
1608269142,23,68
1608271853,34,105
1608273936,27,80
1608275764,33,93
1608276882,21,79
1608279938,65,58
1608281439,35,26
1608283307,29,22
1608284078,14,26
1608286654,23,26
1608287677,12,21
1608291273,34,32
1608292592,13,7
1608293863,13,15
1608297937,47,57
1608299435,14,36
1608302071,20,63
1608303378,10,13
1608305143,18,35
1608305674,7,39
1608306789,11,11
1608308052,30,35
1608309271,14,40
1608310518,20,20
1608312874,27,69
1608315599,31,47
1608316477,8,52
1608317971,20,24
1608319535,16,8
1608320072,6,49
1608321450,15,28
1608323136,21,53
1608323670,6,59
1608324878,12,18
1608326500,24,59
1608327275,4,45
1608330876,38,131
1608332228,14,30
1608334476,30,130
1608337271,32,94
1608338083,17,100
1608341677,36,177
1608345278,26,222
1608347333,21,119
1608348880,7,90
1608351793,13,114
1608352482,5,116
1608353627,7,38
1608356080,6,191
1608358112,17,189
1608360637,13,278
1608361847,4,167
1608363274,13,174
1608364995,15,143
1608366875,7,127
1608369040,17,81
1608370474,13,93
1608371730,12,30
1608373538,31,66
1608375044,16,68
1608377670,21,41
1608380429,25,22
1608381277,8,14
1608384343,21,16
1608385636,20,33
1608388473,33,25
1608391531,22,13
1608392880,12,27
1608395677,42,41
1608399277,42,40
1608402868,25,56
1608405935,45,17
1608407148,16,24
1608410082,31,47
1608411758,16,36
1608413140,14,2
1608414580,27,23
1608417270,34,35
1608419948,21,29
1608420886,8,31
1608423476,19,28
1608424482,6,15
1608425616,10,4
1608426927,10,10
1608428187,5,18
1608431672,28,35
1608433417,18,11
1608434742,11,3
1608436275,12,17
1608438879,17,33
1608441159,17,21
1608445537,88,56
1608446076,14,37
1608449670,123,55
1608452738,73,15
1608453274,10,14
1608456871,28,23
1608457991,13,7
1608459454,13,7
1608460472,23,18
1608462255,26,17
1608463532,10,2
1608465033,13,16
1608466472,15,19
1608467594,13,14
1608470377,27,20
1608471654,11,17
1608474341,24,14
1608475632,18,13
1608478474,29,42
1608479688,5,7
1608481179,12,28
1608482077,17,20
1608485678,35,43
1608486948,12,16
1608488736,21,19
1608489270,4,19
1608490485,13,6
1608492339,31,20
1608493489,11,29
1608496475,23,57
1608498152,13,36
1608500080,22,15
1608501451,12,10
1608503131,13,13
1608503679,6,19
1608506739,34,19
1608508229,18,33
1608510206,13,14
1608510871,7,15
1608514482,45,29
1608515862,16,5
1608517525,10,21
1608518078,9,10
1608521140,32,13
1608521678,6,15
1608523173,15,8
1608524402,9,6
1608525282,11,7
1608527607,18,8
1608529015,22,7
1608530473,16,8
1608532478,24,14
1608533637,11,6
1608535280,16,12
1608536075,6,4
1608537364,9,9
1608538491,16,8
1608539664,14,13
1608542385,31,16
1608543273,12,34
1608544537,15,7
1608546337,22,10
1608547855,13,18
1608549673,19,15
1608550473,2,10
1608552354,31,13
1608553535,14,5
1608557136,30,28
1608557677,3,25
1608558961,15,4
1608560735,25,13
1608562109,16,19
1608566215,45,48
1608567936,15,13
1608568474,6,20
1608569749,12,11
1608570890,16,16
1608572078,17,9
1608573352,22,2
1608575141,21,14
1608575674,12,23
1608578386,24,28
1608579984,14,23
1608581315,13,14
1608582994,33,51
1608584819,28,46
1608586477,30,25
1608587933,22,11
1608589536,15,7
1608591036,20,12
1608592952,32,13
1608593675,7,10
1608595794,25,15
1608597277,17,9
1608598660,13,4
1608600336,12,20
1608600873,11,12
1608604475,41,26
1608606183,11,18
1608607540,14,3
1608609043,12,11
1608610320,13,13
1608611686,19,18
1608613843,11,47
1608615507,14,41
1608617581,18,46
1608618880,11,59
1608622479,35,93
1608624195,15,17
1608626076,21,19
1608627248,13,8
1608628552,20,15
1608629678,10,26
1608631194,14,26
1608632515,13,6
1608633280,8,15
1608634562,19,6
1608636871,29,28
1608638914,25,18
1608640697,28,17
1608643539,26,33
1608644073,17,11
1608645536,15,20
1608646908,17,3
1608647675,4,14
1608648888,19,11
1608650008,8,8
1608651354,23,23
1608652472,30,4
1608653815,19,7
1608654874,29,19
1608656359,48,23
1608657944,24,4
1608658477,14,13
1608659586,18,4
1608661089,27,19
1608662076,22,20
1608665670,99,31
1608667806,52,14
1608669278,28,13
1608671271,36,24
1608672918,22,14
1608675569,30,21
1608676472,10,15
1608679108,26,32
1608680074,8,11
1608682058,19,18
1608684779,42,31
1608686739,31,15
1608688238,24,6
1608690037,17,11
1608690879,12,14
1608692101,13,13
1608693772,28,11
1608694473,12,11
1608697007,30,13
1608698079,10,19
1608699227,11,10
1608701673,71,32
1608703411,17,21
1608705278,19,18
1608706445,9,4
1608708335,21,19
1608708876,8,18
1608711733,34,25
1608713680,17,20
1608715536,21,17
1608716941,18,16
1608718475,25,20
1608719671,24,16
1608721060,23,11
1608722377,16,21
1608723274,6,15
1608724595,24,3
1608726199,13,15
1608726874,7,17
1608728692,20,26
1608730471,19,25
1608733272,44,26
1608734622,31,25
1608735857,33,10
1608737675,34,23
1608739868,31,20
1608741271,15,18
1608742548,25,5
1608744874,28,41
1608747007,21,14
1608748333,30,4
1608749437,44,21
1608752076,47,31
1608755020,59,23
1608756637,31,27
1608759281,39,39
1608760778,15,34
1608762302,18,7
1608764359,43,36
1608765574,11,5
1608766478,9,12
1608768647,12,16
1608770072,16,13
1608772842,20,23
1608773675,7,21
1608776137,27,15
1608777276,15,18
1608780340,16,21
1608781911,14,29
1608783680,11,9
1608784479,4,14
1608787171,19,17
1608788078,9,15
1608789809,8,20
1608791677,14,18
1608793586,23,18
1608795279,10,17
1608798334,23,27
1608799817,15,21
1608801226,14,15
1608803438,18,28
1608804801,9,15
1608805926,4,26
1608807232,11,3
1608808995,15,11
1608810644,6,28
1608813276,20,28
1608815311,6,20
1608816872,18,16
1608819026,7,24
1608820477,11,23
1608823540,35,36
1608824947,5,45
1608827675,21,69
1608829069,9,16
1608830736,14,24
1608832556,5,42
1608834336,12,32
1608834878,3,54
1608836554,7,39
1608838477,23,42
1608840434,31,30
1608842078,20,51
1608844102,25,31
1608845678,18,13
1608849270,31,35
1608852878,26,54
1608855597,35,25
1608862898,96,99
1608863679,4,16
1608867281,52,37
1608870894,97,78
1608872292,53,11
1608873942,81,15
1608874476,20,16
1608877540,86,23
1608879581,69,39
1608880973,26,4
1608881674,4,12
1608883177,8,16
1608884738,6,6
1608886241,16,25
1608888872,24,46
1608891059,19,33
1608892486,34,15
1608894887,31,25
