DateTime,AddedIPs,RemovedIPs
1608028465,10,18
1608030821,27,15
1608033003,40,25
1608034328,23,18
1608035935,12,19
1608037163,13,19
1608039266,26,24
1608040934,28,46
1608042865,45,54
1608043993,96,15
1608045337,38,23
1608046504,18,53
1608048329,25,80
1608050064,26,44
1608052469,43,71
1608053661,24,66
1608055811,25,46
1608057890,56,59
1608059092,49,40
1608060206,33,3
1608060868,24,59
1608063206,91,51
1608064463,75,55
1608065750,61,22
1608067116,64,60
1608069023,91,92
1608070247,81,23
1608071659,34,22
1608072841,0,3759
1608073952,3820,0
1608075261,52,16
1608076409,53,11
1608078328,89,15
1608079825,72,26
1608081631,86,21
1608083433,99,22
1608085526,119,55
1608086771,44,40
1608088885,75,30
1608090378,62,36
1608093271,105,74
1608096141,143,32
1608097820,78,29
1608099763,88,32
1608101100,57,36
1608104064,138,82
1608105384,64,17
1608107662,115,74
1608109623,78,43
1608110973,0,4746
1608113329,4753,0
1608114866,29,50
1608116160,25,19
1608117868,33,30
1608119426,19,47
1608122043,0,4713
1608123208,4727,0
1608124977,39,17
1608125663,13,15
1608126963,0,4747
1608129264,4772,0
1608130752,57,22
1608132029,68,7
1608132860,45,23
1608134538,80,42
1608135924,68,0
1608138649,0,4996
1608140068,5059,0
1608142302,105,21
1608143662,68,28
1608145322,91,25
1608146725,54,0
1608147936,43,23
1608149784,66,23
1608151565,0,5366
1608153034,5478,0
1608154467,72,32
1608156655,136,38
1608158330,0,5616
1608160438,5743,0
1608161669,62,34
1608163013,66,19
1608164725,99,20
1608165267,32,20
1608168869,232,77
1608171465,156,53
1608172684,69,49
1608174161,82,28
1608175534,57,3
1608179135,150,47
1608182728,149,48
1608184226,59,36
1608186863,137,33
1608188860,131,30
1608190477,131,33
1608193314,173,24
1608194062,24,20
1608195403,44,5
1608197125,55,18
1608197665,24,26
1608199181,42,20
1608200726,60,3
1608201260,18,35
1608204084,69,36
1608204864,16,14
1608206337,33,22
1608207927,29,2
1608209361,22,27
1608212075,42,58
1608213251,20,18
1608215125,34,15
1608216232,27,38
1608217906,34,19
1608219269,15,22
1608220448,0,7184
1608222323,7261,0
1608223828,39,61
1608225034,28,217
1608226463,40,21
1608228372,54,55
1608230068,43,37
1608233666,134,100
1608235379,48,59
1608237262,59,61
1608239564,71,45
1608240870,31,70
1608243873,95,51
1608245426,40,48
1608248068,73,86
1608251127,85,54
1608252625,27,81
1608255268,60,93
1608256646,28,15
1608258331,39,25
1608258866,14,49
1608261930,62,73
1608262467,11,59
1608266073,53,167
1608269129,70,64
1608271841,71,126
1608273922,54,82
1608275746,58,103
1608276868,45,84
1608279927,110,79
1608281427,54,44
1608283284,50,30
1608284067,26,32
1608286644,51,29
1608287664,43,32
1608291262,109,49
1608292582,50,12
1608293849,48,20
1608294863,25,31
1608297923,79,53
1608299426,32,44
1608302061,57,87
1608303367,48,17
1608305122,44,40
1608305664,15,51
1608306779,31,15
1608308041,47,40
1608309259,56,48
1608310506,41,16
1608312864,60,100
1608315589,63,62
1608316467,14,56
1608317903,34,14
1608319523,44,23
1608320061,22,69
1608321430,56,28
1608323125,39,67
1608323660,20,74
1608324868,35,22
1608326488,41,61
1608327264,18,57
1608330864,95,141
1608332217,18,35
1608334464,52,151
1608337258,53,103
1608338070,25,105
1608341664,83,211
1608345265,87,244
1608347321,40,128
1608348868,24,99
1608351781,38,128
1608352466,20,127
1608353612,29,39
1608356067,35,213
1608358102,22,209
1608360625,31,293
1608361834,22,175
1608363263,27,193
1608364974,45,161
1608366864,29,138
1608369031,51,94
1608370464,37,113
1608371719,32,32
1608373525,56,67
1608375031,48,78
1608377660,77,61
1608380418,59,32
1608381263,13,27
1608384330,65,25
1608385623,39,55
1608388463,57,55
1608391521,110,44
1608392869,34,85
1608395664,93,72
1608399264,105,81
1608402859,78,116
1608405923,74,47
1608407132,21,77
1608410071,88,96
1608411722,0,4529
1608413129,4566,0
1608414569,37,60
1608417257,0,4543
1608419935,4529,0
1608420874,27,58
1608423465,71,67
1608424469,17,31
1608425606,22,13
1608426911,20,32
1608428173,18,33
1608431660,55,81
1608433388,30,22
1608434730,31,2
1608436258,31,47
1608438866,50,80
1608441147,45,48
1608442464,28,36
1608446066,129,124
1608449659,202,112
1608452726,144,40
1608453263,19,40
1608456861,95,72
1608457977,37,24
1608459438,42,24
1608460462,39,42
1608462241,66,60
1608463522,39,0
1608465023,158,55
1608466459,0,4801
1608467580,4931,0
1608470367,169,39
1608471643,54,49
1608474326,83,26
1608475599,39,45
1608478464,68,99
1608479677,23,12
1608481169,37,45
1608482066,28,35
1608485665,77,85
1608486937,48,16
1608488724,122,25
1608489260,10,39
1608490475,28,20
1608492323,75,47
1608493479,37,52
1608496464,64,108
1608498124,33,81
1608500066,40,27
1608501436,39,12
1608503122,36,15
1608503667,8,35
1608506726,104,32
1608508215,47,46
1608510193,38,35
1608510861,22,36
1608513817,0,5199
1608514464,5236,0
1608515850,35,8
1608517507,0,5263
1608518067,5252,0
1608521129,76,18
1608521667,8,36
1608523162,30,32
1608524371,17,5
1608525269,19,13
1608527590,41,20
1608528991,41,18
1608530423,0,5342
1608531923,5382,0
1608532464,24,36
1608533617,25,13
1608535264,38,31
1608536065,19,24
1608537346,36,13
1608538480,45,19
1608539648,0,5433
1608542361,5498,0
1608543262,26,57
1608544527,35,12
1608546326,62,26
1608547834,42,36
1608549660,57,27
1608550463,18,19
1608552334,64,24
1608553523,39,1
1608555021,49,44
1608557665,83,71
1608558950,34,6
1608560723,65,25
1608562099,42,62
1608564861,140,76
1608566205,48,15
1608567923,64,28
1608568464,41,42
1608569729,49,12
1608570879,34,22
1608572068,36,36
1608573341,59,4
1608575128,56,25
1608575663,17,35
1608578375,64,35
1608579972,46,57
1608581303,43,46
1608582978,56,84
1608584806,78,75
1608586465,48,47
1608587882,38,12
1608589524,38,20
1608591025,30,42
1608592937,61,29
1608593664,15,31
1608595782,48,27
1608597264,38,19
1608598649,23,11
1608600325,47,23
1608600863,17,25
1608604462,110,68
1608606171,37,41
1608607529,69,0
1608609024,32,40
1608610310,35,22
1608611675,34,17
1608613824,35,69
1608615492,26,62
1608617571,50,70
1608618869,27,165
1608622465,81,235
1608624181,40,87
1608626066,53,87
1608627225,25,36
1608628541,50,79
1608629666,32,107
1608631166,27,100
1608632505,47,14
1608633269,12,90
1608634550,31,97
1608636861,59,286
1608638904,64,194
1608640687,52,99
1608643529,48,63
1608644063,9,44
1608645525,23,45
1608646897,16,6
1608647665,19,40
1608648877,35,11
1608649994,30,29
1608651344,28,42
1608652462,43,13
1608653787,27,22
1608654862,52,42
1608656348,58,59
1608657926,36,7
1608658466,15,107
1608659578,0,4932
1608661079,4969,0
1608662065,44,63
1608665659,134,85
1608667795,62,31
1608669265,47,22
1608671264,0,5055
1608672905,5043,0
1608675553,48,34
1608676462,22,71
1608679091,69,49
1608680063,16,36
1608682048,36,37
1608684768,79,64
1608686727,58,28
1608688226,34,32
1608690021,41,28
1608690866,13,38
1608692090,21,16
1608693760,51,18
1608694461,21,29
1608696994,54,32
1608698066,19,45
1608699206,21,12
1608701662,102,89
1608703400,34,55
1608705263,37,35
1608706434,22,18
1608708325,41,43
1608708864,11,67
1608711719,70,59
1608712465,12,39
1608713670,25,17
1608715524,44,53
1608716931,37,67
1608718456,35,37
1608719661,38,42
1608721050,42,16
1608722364,29,47
1608723264,18,53
1608724580,42,22
1608726180,19,46
1608726863,15,43
1608728681,39,53
1608730461,46,66
1608731714,28,19
1608733261,39,43
1608734612,0,4873
1608735846,4811,0
1608737664,71,72
1608739857,62,89
1608741260,25,62
1608742537,37,14
1608744863,65,110
1608746989,58,40
1608748312,47,1
1608749423,55,56
1608752064,75,92
1608755009,98,71
1608756626,53,61
1608759267,59,71
1608760757,18,48
1608762288,0,4747
1608764349,4757,0
1608765561,20,7
1608766467,12,42
1608768635,35,36
1608770061,25,43
1608772829,38,52
1608773664,22,58
1608776118,55,52
1608777264,23,74
1608780327,47,41
1608781900,38,64
1608783665,35,21
1608784466,10,27
1608787153,41,34
1608788064,14,40
1608789795,38,40
1608791665,37,31
1608793573,39,50
1608795268,25,40
1608798323,59,52
1608799804,0,4566
1608801216,4538,0
1608803423,37,65
1608804785,24,30
1608805911,28,38
1608807219,41,10
