DateTime,AddedIPs,RemovedIPs
1607589284,0,2
1607590533,0,1
1607592346,0,1
1607593999,1,1
1607596483,1,0
1607600074,0,2
1607601525,0,2
1607603141,1,0
1607607275,0,1
1607612804,0,2
1607615693,1,0
1607617278,2,0
1607620160,0,1
1607622828,1,0
1607624306,0,2
1607625279,1,1
1607626481,1,1
1607628878,1,2
1607632486,1,1
1607636491,0,1
1607639147,2,0
1607639676,0,1
1607640794,0,1
1607642079,0,2
1607643278,0,1
1607644670,0,1
1607646362,0,1
1607646878,0,1
1607649236,1,0
1607651445,2,0
1607652695,0,1
1607654572,0,1
1607664881,0,1
1607666382,0,2
1607671359,2,1
1607672080,1,0
1607673722,5,1
1607675680,5,1
1607679276,17,2
1607681065,1,2
1607682876,3,0
1607685322,1,0
1607686479,2,0
1607687625,1,3
1607688892,0,1
1607690083,1,1
1607692808,2,0
1607693682,0,1
1607695558,0,5
1607698243,1,1
1607701327,1,0
1607704494,1,1
1607707544,0,1
1607713727,0,1
1607715279,1,0
1607717960,1,0
1607718890,1,1
1607721963,1,0
1607724505,0,2
1607726085,0,3
1607729689,0,3
1607733275,0,1
1607767842,75,12
1607769284,0,2
1607772876,0,1
1607778470,0,1
1607780079,2,1
1607782029,0,1
1607783681,1,1
1607785144,0,3
1607790879,0,2
1607795958,0,1
1607797546,1,0
1607799314,2,0
1607801139,1,0
1607803702,1,2
1607805281,1,0
1607808881,0,1
1607812483,0,1
1607816083,0,1
1607817856,1,1
1607819689,1,0
1607823281,1,3
1607825339,1,0
1607826884,0,1
1607828390,1,0
1607831447,1,0
1607834093,0,1
1607837151,1,2
1607838651,3,0
1607841277,1,1
1607843522,0,5
1607845415,0,9
1607847024,1,5
1607848478,0,6
1607850250,1,1
1607853698,1,0
1607855683,1,0
1607856916,1,1
1607859280,1,2
1607859878,1,0
1607861073,1,1
1607862887,1,1
1607865386,0,1
1607873138,5,0
1607873683,1,1
1607874965,5,0
1607876741,5,0
1607877276,2,1
1607879388,1,0
1607882815,1,1
1607884474,2,0
1607886726,3,0
1607889195,2,0
1607890487,2,0
1607895288,3,1
1607896960,4,0
1607898346,2,0
1607901168,3,0
1607902488,1,0
1607906079,9,0
1607909143,4,1
1607909683,1,22
1607910823,0,8
1607912743,3,22
1607914068,1,14
1607916343,2,0
1607917666,3,0
1607920497,8,0
1607923160,13,0
1607925451,1,1
1607934881,0,1
1607938478,1,2
1607940407,1,0
1607941538,2,0
1607944098,0,3
1607945682,1,1
1607947700,0,4
1607952371,1,0
1607952877,2,0
1607954205,3,0
1607956476,1,0
1607958970,2,0
1607960082,1,0
1607961324,2,0
1607963674,0,1
1607964884,1,0
1607968607,1,0
1607970347,0,1
1607973508,0,2
1607975440,0,1
1607977533,0,3
1607981680,1,0
1607984745,2,0
1607995549,1,0
1607997044,0,2
1608006886,0,3
1608008858,0,4
1608010493,5,1
1608016203,1,1
1608017679,1,0
1608018894,1,0
1608021282,2,1
1608023352,1,1
1608024877,1,0
1608026198,0,1
1608027795,0,1
1608030836,3,0
1608033027,0,1
1608034350,1,1
1608035944,0,3
1608039282,3,0
1608040972,0,1
1608044008,2,1
1608046522,1,2
1608050080,2,1
1608053676,0,2
1608055833,1,1
1608059283,0,1
1608060885,0,1
1608063221,0,1
1608064480,0,2
1608067135,1,0
1608069042,1,1
1608070263,1,1
1608071674,0,1
1608072866,1,0
1608073968,0,1
1608075279,0,1
1608076425,0,1
1608078345,0,2
1608079844,2,1
1608081649,0,1
1608083453,9,0
1608085551,4,0
1608086813,3,1
1608088903,2,5
1608090402,1,4
1608093293,0,20
1608096165,1,3
1608097836,0,3
1608099784,0,1
1608101118,1,2
1608104079,5,3
1608107679,0,4
1608112227,2,0
1608113358,1,0
1608114889,1,2
1608117882,1,2
1608119443,1,0
1608122067,0,1
1608123225,1,0
1608124997,1,0
1608125679,1,0
1608126972,1,0
1608129280,0,1
1608130774,0,1
1608132052,2,0
1608132875,1,0
1608135939,2,0
1608139514,2,1
1608140091,0,1
1608142319,1,1
1608145377,1,0
1608147964,0,1
1608151576,2,0
1608156678,1,0
