DateTime,AddedIPs,RemovedIPs
1607815504,12,15
1607817405,13,16
1607819298,12,13
1607822207,11,12
1607824365,14,12
1607826282,13,14
1607828209,9,15
1607830092,12,20
1607832053,13,14
1607833952,18,16
1607835885,8,23
1607837811,14,0
1607839697,10,19
1607841633,13,12
1607843563,14,14
1607845471,11,9
1607847385,6,15
1607849323,9,18
1607851219,14,16
1607853176,20,19
1607856987,22,40
1607858913,14,18
1607860878,19,16
1607862743,14,23
1607865652,14,17
1607867559,12,0
1607869502,18,17
1607873314,14,15
1607875300,23,0
1607877169,16,20
1607879069,16,0
1607880997,13,0
1607883928,10,28
1607885797,23,13
1607887751,6,0
1607889633,8,13
1607891608,7,10
1607893506,4,12
1607895385,16,12
1607897352,14,9
1607899245,10,20
1607901140,11,13
1607903106,11,16
1607905002,9,12
1607906906,9,9
1607909070,6,11
1607910986,9,16
1607912910,11,14
1607914885,11,15
1607916776,8,8
1607918729,13,14
1607921567,11,16
1607923474,22,12
1607925418,18,21
1607927319,17,20
1607929234,18,19
1607932118,15,27
1607934997,15,11
1607936959,20,13
1607938833,15,18
1607940739,21,18
1607942686,18,16
1607944587,14,19
1607946527,17,0
1607948454,20,17
1607950351,16,19
1607954202,15,43
1607956390,19,23
1607958265,24,16
1607960194,17,11
1607962135,13,18
1607964045,16,14
1607965987,21,11
1607968851,18,14
1607970806,18,18
1607972664,11,0
1607974597,17,13
1607976515,27,11
1607978406,16,15
1607980361,25,0
1607982280,14,14
1607985148,17,29
1607987085,15,22
1607989018,13,0
1607990913,16,16
1607992844,11,0
1607994749,21,0
1607996675,14,24
1607998609,13,19
1608000517,13,0
1608002438,14,22
1608004383,12,15
1608006311,11,14
1608008260,18,0
1608010115,16,21
1608012980,14,20
1608014923,22,23
1608017799,10,46
1608019746,13,17
1608021629,19,21
1608023536,16,18
1608025495,16,22
1608027388,16,0
1608029306,17,11
1608031247,18,17
1608034107,22,22
1608036023,15,6
1608037979,19,0
1608039864,28,19
1608041788,13,13
1608044666,21,6
1608046614,6,15
1608048525,18,29
1608050445,15,31
1608052375,16,20
1608054266,12,0
1608056235,15,0
1608058107,16,14
1608060067,10,17
1608061951,13,19
1608063901,16,0
1608065799,13,8
1608067730,16,14
1608069657,19,17
1608071547,11,17
1608073473,14,10
1608075415,6,14
1608077551,7,0
1608079516,12,11
1608081382,15,20
1608083313,21,6
1608085280,17,15
1608087149,23,11
1608089059,21,13
1608091947,9,20
1608093900,14,16
1608095782,6,0
1608098660,17,18
1608100594,13,0
1608102521,19,13
1608104475,8,13
1608106344,20,19
1608108287,21,27
1608110176,15,14
1608113065,14,20
1608116919,16,28
1608118859,12,17
1608120778,18,8
1608122691,19,19
1608124581,21,0
1608126521,13,18
1608128446,15,11
1608135195,15,33
1608137085,15,21
1608139005,12,0
1608140943,18,9
1608142872,21,11
1608145735,15,15
1608147613,7,17
1608149559,17,11
1608153407,12,30
1608155328,11,12
1608157235,8,18
1608159162,18,29
1608161087,16,0
1608162987,12,13
1608164915,9,21
1608166862,7,15
1608169724,4,13
1608171634,11,20
1608173569,8,43
1608177428,5,38
1608179296,7,0
1608182220,13,43
1608184114,14,4
1608186066,9,25
1608187926,26,11
1608189883,14,13
1608192743,13,34
1608194689,18,0
1608196581,11,19
1608199481,15,27
1608201417,18,22
1608203298,8,14
1608205240,17,9
1608208346,11,8
1608210283,14,13
1608213165,12,32
1608216063,9,10
1608217946,20,17
1608221803,12,17
1608223712,18,16
1608225620,12,0
1608227590,22,4
1608229466,14,16
1608231406,9,11
1608233331,9,12
1608235224,19,0
1608238356,21,21
1608240300,19,19
1608242203,10,13
1608244103,15,15
1608246068,11,14
1608247969,11,7
1608249881,17,15
1608252043,11,7
1608253966,11,18
1608257818,13,31
1608260724,17,20
1608262600,8,13
1608264512,19,15
1608266460,21,9
1608270284,17,33
1608273151,20,33
1608275091,17,9
1608276973,14,0
1608278901,19,15
1608281796,10,26
1608284683,14,10
1608286602,12,21
1608288523,19,10
1608290427,14,13
1608292377,9,16
1608294265,13,17
1608296177,13,18
