DateTime,Entries,UniqueIPs
1607815504,5524,5776
1607817405,5523,5773
1607819298,5523,5772
1607822207,5522,5771
1607824365,5524,5773
1607826282,5522,5772
1607828209,5516,5766
1607830092,5505,5758
1607832053,5505,5757
1607833952,5507,5759
1607835885,5492,5744
1607837811,5506,5758
1607839697,5497,5749
1607841633,5494,5750
1607843563,5493,5750
1607845471,5495,5752
1607847385,5485,5743
1607849323,5476,5734
1607851219,5473,5732
1607853176,5477,5733
1607856987,5462,5715
1607858913,5458,5711
1607860878,5461,5714
1607862743,5452,5705
1607865652,5450,5702
1607867559,5462,5714
1607869502,5460,5715
1607873314,5459,5714
1607875300,5482,5737
1607877169,5477,5733
1607879069,5492,5749
1607880997,5505,5762
1607883928,5487,5744
1607885797,5496,5754
1607887751,5502,5760
1607889633,5499,5755
1607891608,5498,5752
1607893506,5491,5744
1607895385,5494,5748
1607897352,5499,5753
1607899245,5489,5743
1607901140,5487,5741
1607903106,5483,5736
1607905002,5479,5733
1607906906,5480,5733
1607909070,5476,5728
1607910986,5469,5721
1607912910,5467,5718
1607914885,5462,5714
1607916776,5462,5714
1607918729,5460,5713
1607921567,5453,5708
1607923474,5464,5718
1607925418,5460,5715
1607927319,5457,5712
1607929234,5457,5711
1607932118,5446,5699
1607934997,5450,5703
1607936959,5458,5710
1607938833,5455,5707
1607940739,5456,5710
1607942686,5458,5712
1607944587,5454,5707
1607946527,5471,5724
1607948454,5476,5727
1607950351,5473,5724
1607954202,5445,5696
1607956390,5440,5692
1607958265,5448,5700
1607960194,5453,5706
1607962135,5447,5701
1607964045,5449,5703
1607965987,5459,5713
1607968851,5463,5717
1607970806,5462,5717
1607972664,5473,5728
1607974597,5478,5732
1607976515,5494,5748
1607978406,5496,5749
1607980361,5520,5774
1607982280,5517,5774
1607985148,5507,5762
1607987085,5501,5755
1607989018,5514,5768
1607990913,5513,5768
1607992844,5524,5779
1607994749,5544,5800
1607996675,5535,5790
1607998609,5529,5784
1608000517,5541,5797
1608002438,5534,5789
1608004383,5534,5786
1608006311,5530,5783
1608008260,5548,5801
1608010115,5543,5796
1608012980,5537,5790
1608014923,5536,5789
1608017799,5504,5753
1608019746,5500,5749
1608021629,5497,5747
1608023536,5496,5745
1608025495,5494,5739
1608027388,5507,5755
1608029306,5513,5761
1608031247,5512,5762
1608034107,5513,5762
1608036023,5516,5771
1608037979,5532,5790
1608039864,5540,5799
1608041788,5538,5799
1608044666,5552,5814
1608046614,5543,5805
1608048525,5534,5794
1608050445,5517,5778
1608052375,5511,5774
1608054266,5520,5786
1608056235,5533,5801
1608058107,5535,5803
1608060067,5527,5796
1608061951,5520,5790
1608063901,5535,5806
1608065799,5540,5811
1608067730,5543,5813
1608069657,5549,5815
1608071547,5537,5809
1608073473,5541,5813
1608075415,5532,5805
1608077551,5538,5812
1608079516,5538,5813
1608081382,5534,5808
1608083313,5546,5823
1608085280,5548,5825
1608087149,5559,5837
1608089059,5566,5845
1608091947,5555,5834
1608093900,5553,5832
1608095782,5559,5838
1608098660,5558,5837
1608100594,5570,5850
1608102521,5577,5856
1608104475,5575,5851
1608106344,5575,5852
1608108287,5569,5846
1608110176,5569,5847
1608113065,5563,5841
1608116919,5550,5829
1608118859,5541,5824
1608120778,5551,5834
1608122691,5552,5834
1608124581,5571,5855
1608126521,5567,5850
1608128446,5569,5854
1608135195,5551,5836
1608137085,5546,5830
1608139005,5558,5842
1608140943,5566,5851
1608142872,5579,5861
1608145735,5579,5861
1608147613,5570,5851
1608149559,5574,5857
1608153407,5558,5839
1608155328,5557,5838
1608157235,5547,5828
1608159162,5536,5817
1608161087,5551,5833
1608162987,5550,5832
1608164915,5538,5820
1608166862,5530,5812
1608169724,5520,5803
1608171634,5511,5794
1608173569,5481,5759
1608177428,5450,5726
1608179296,5456,5733
1608182220,5430,5703
1608184114,5439,5713
1608186066,5422,5697
1608187926,5437,5712
1608189883,5437,5713
1608192743,5418,5692
1608194689,5434,5710
1608196581,5425,5702
1608199481,5416,5690
1608201417,5412,5686
1608203298,5406,5680
1608205240,5414,5688
1608208346,5417,5691
1608210283,5418,5692
1608213165,5399,5672
1608216063,5399,5671
1608217946,5401,5674
1608221803,5395,5669
1608223712,5398,5671
1608225620,5410,5683
1608227590,5424,5701
1608229466,5423,5699
1608231406,5421,5697
1608233331,5419,5694
1608235224,5438,5713
1608238356,5438,5713
1608240300,5437,5713
1608242203,5435,5710
1608244103,5438,5710
1608246068,5435,5707
1608247969,5439,5711
1608249881,5439,5713
1608252043,5445,5717
1608253966,5438,5710
1608257818,5420,5692
1608260724,5418,5689
1608262600,5413,5684
1608264512,5418,5688
1608266460,5429,5700
1608270284,5414,5684
1608273151,5401,5671
1608275091,5411,5679
1608276973,5425,5693
1608278901,5430,5697
1608281796,5414,5681
1608284683,5418,5685
1608286602,5408,5676
1608288523,5415,5685
1608290427,5416,5686
1608292377,5408,5679
1608294265,5406,5675
1608296177,5399,5670
1608298145,5393,5664
1608300037,5388,5660
1608301966,5386,5658
1608303903,5375,5650
1608305787,5387,5663
1608307968,5381,5657
1608310897,5375,5651
1608312770,5365,5638
1608315670,5362,5635
1608317540,5358,5631
1608319500,5358,5631
1608321404,5358,5629
1608324290,5344,5616
1608327172,5339,5610
1608330057,5329,5598
1608331958,5336,5605
1608335808,5337,5605
1608337705,5335,5603
1608339630,5328,5597
1608341579,5309,5576
1608343505,5315,5583
1608345424,5325,5593
1608347342,5322,5590
1608349220,5331,5601
1608351204,5317,5586
1608353083,5327,5596
1608354994,5327,5596
1608356930,5326,5593
1608358880,5315,5582
1608360739,5309,5575
1608362697,5331,5599
1608364585,5323,5592
1608366495,5325,5593
1608368473,5323,5590
1608370353,5327,5594
1608373239,5318,5585
1608375166,5323,5589
1608378019,5317,5582
1608380899,5291,5556
1608384768,5265,5526
1608386666,5259,5521
1608388592,5267,5528
1608390528,5270,5531
1608392423,5276,5537
1608394403,5279,5540
1608396270,5292,5553
1608398191,5297,5553
1608400126,5302,5556
1608403009,5304,5558
1608405897,5300,5554
1608407782,5296,5551
1608409698,5298,5553
1608414525,5272,5526
1608416411,5290,5545
1608418341,5286,5541
1608421224,5259,5518
1608424377,5249,5510
1608426268,5256,5518
1608428207,5267,5530
1608430117,5273,5537
1608432040,5274,5537
1608433979,5283,5546
1608435874,5289,5551
1608437800,5292,5554
1608440670,5301,5564
1608442850,5280,5542
1608447644,5265,5525
1608451493,5254,5513
1608453392,5257,5516
1608455314,5256,5515
1608457248,5249,5509
1608459158,5246,5506
1608461070,5258,5518
1608463019,5244,5506
1608464900,5247,5508
1608466826,5246,5508
1608469703,5241,5501
1608471634,5238,5498
1608473559,5236,5498
1608475501,5233,5496
1608477377,5245,5508
1608479312,5253,5516
1608481275,5252,5515
1608484127,5234,5497
1608487002,5229,5492
1608488892,5231,5497
1608491781,5217,5483
1608493749,5220,5485
1608495673,5227,5492
1608497563,5237,5502
1608499464,5251,5516
1608501421,5251,5517
1608503323,5251,5519
1608506457,5241,5508
1608508345,5232,5499
1608510278,5232,5498
1608512239,5234,5499
1608514120,5235,5500
1608516021,5231,5494
1608517967,5224,5487
1608519884,5217,5483
1608521808,5221,5487
1608523713,5213,5479
1608526581,5214,5480
1608528505,5208,5474
1608531375,5200,5465
1608534285,5178,5443
1608536215,5187,5452
1608538100,5188,5456
1608540994,5183,5451
1608544136,5162,5431
1608546020,5154,5422
1608548918,5152,5422
1608550835,5149,5419
1608552780,5146,5416
1608554685,5139,5409
1608556612,5145,5414
1608558520,5165,5434
1608561392,5146,5415
1608563561,5143,5410
1608565493,5141,5409
1608567672,5143,5411
1608570537,5143,5410
1608572431,5139,5404
1608574344,5125,5390
1608577233,5125,5390
1608579185,5125,5389
1608582072,5089,5352
1608583940,5081,5344
1608585866,5073,5336
1608587812,5071,5334
1608589719,5081,5344
1608591657,5081,5344
1608593565,5088,5352
1608596461,5080,5339
1608599322,5080,5338
1608601245,5075,5333
1608603378,5080,5339
1608605328,5071,5330
1608607266,5071,5331
1608609147,5089,5349
1608611082,5099,5360
1608613014,5106,5367
1608615889,5092,5355
1608617786,5084,5347
1608619700,5094,5357
1608622578,5085,5348
1608624527,5094,5358
1608626419,5092,5357
1608628359,5080,5345
1608630290,5097,5365
1608632222,5077,5346
1608634115,5082,5352
1608636077,5084,5354
1608637942,5096,5367
1608639876,5100,5373
1608641822,5109,5382
1608643722,5108,5383
1608645661,5106,5380
1608647566,5110,5386
1608650464,5114,5390
1608652348,5116,5394
1608654304,5096,5374
1608656184,5090,5372
1608658115,5089,5371
1608660995,5080,5361
1608666757,5038,5318
1608669644,5035,5315
1608671605,5030,5309
1608673495,5021,5300
1608675397,5017,5296
1608677329,5025,5304
1608679223,5017,5294
1608681136,5025,5299
1608683085,5030,5302
1608684980,5030,5301
1608687169,5024,5295
1608690046,5020,5290
1608691964,4993,5264
1608696759,4975,5243
1608698663,4990,5258
1608700614,4975,5241
1608702532,4995,5261
1608704441,4987,5253
1608706374,4977,5245
1608708270,4969,5238
1608710210,4964,5233
1608712120,4962,5229
1608714050,4965,5233
1608715971,4958,5228
1608717903,4963,5230
1608721709,4986,5254
1608723661,4979,5244
1608725554,4991,5256
1608727482,4991,5255
1608729427,4979,5237
1608731339,4981,5239
1608733228,4991,5249
1608736102,4991,5248
1608738072,5010,5267
1608739942,5021,5278
1608741864,5009,5267
1608743899,5000,5254
1608745986,5005,5255
1608748853,4999,5248
1608750776,5001,5247
1608752663,5007,5253
1608754621,5000,5242
1608756503,5025,5267
1608759397,5027,5269
1608761341,5034,5276
1608763241,5037,5280
1608765147,5035,5278
1608767089,5035,5280
1608769003,5038,5283
1608770929,5040,5285
1608772826,5051,5297
1608774765,5054,5296
1608776719,5055,5297
1608778601,5056,5299
1608780508,5067,5310
1608782448,5074,5317
1608784370,5086,5329
1608786291,5103,5346
1608788186,5104,5346
1608790097,5118,5358
1608792042,5125,5367
1608793933,5123,5366
1608795856,5130,5372
1608797807,5141,5382
1608799715,5138,5379
1608801613,5147,5386
1608803550,5164,5404
1608807383,5142,5381
1608811235,5113,5356
1608813131,5134,5377
1608815113,5134,5379
1608816973,5142,5390
1608818904,5151,5398
1608820840,5167,5415
1608824686,5154,5405
1608826579,5167,5418
1608828744,5152,5402
1608830695,5155,5405
1608832614,5147,5397
1608834500,5149,5400
1608836431,5155,5406
1608838382,5165,5416
1608840268,5154,5405
1608842198,5174,5425
1608844127,5169,5419
1608846041,5173,5423
1608847943,5177,5427
1608849893,5187,5437
1608851803,5196,5445
1608853713,5200,5450
1608855682,5196,5447
1608857552,5203,5454
1608859475,5197,5447
1608861394,5225,5475
1608863304,5229,5476
1608869090,5221,5468
1608870969,5224,5470
1608872928,5222,5468
1608874832,5243,5490
1608876737,5242,5489
1608878681,5233,5479
1608880578,5223,5469
1608882491,5220,5468
1608884480,5209,5460
1608886332,5227,5478
1608889217,5229,5481
1608891137,5229,5481
1608893081,5218,5471
1608894987,5208,5459
