DateTime,AddedIPs,RemovedIPs
1608325832,10,0
1608326131,7,0
1608326429,7,0
1608326728,3,0
1608327032,1,0
1608330634,4,0
1608330928,2,0
1608331535,1,0
1608334233,1,0
1608334528,0,2
1608336932,3,0
1608337835,20,0
1608338731,1,0
1608341438,11,0
1608341730,1,0
1608342333,1,0
1608343831,1,0
1608345032,8,0
1608345330,1,0
1608347731,1,0
1608348028,5,0
1608348633,6,0
1608351334,1,0
1608351930,2,0
1608352232,10,0
1608355228,1,0
1608355832,6,0
1608356733,1,0
1608358830,1,0
1608359134,1,0
1608359432,3,0
1608360031,214,0
1608362135,6,0
1608363035,7,0
1608363936,1,0
1608365732,1,0
1608366632,10,0
1608369332,1,0
1608370233,11,0
1608371129,2,0
1608371430,20,0
1608371727,25,1
1608372037,23,0
1608372629,11,0
1608372931,9,0
1608373229,2,0
1608373529,1,0
1608373833,3,0
1608374129,2,0
1608374429,8,0
1608374734,8,0
1608375033,2,0
1608375935,19,1
1608376531,4,0
1608376832,8,0
1608377434,7,0
1608381032,7,0
1608381330,10,0
1608382834,0,1
1608384632,5,0
1608387335,1,0
1608388236,7,0
1608388529,1,0
1608390931,1,0
1608391832,5,0
1608392732,1,0
1608393032,1,0
1608393329,1,0
1608395431,3,0
1608396334,1,0
1608396631,1,0
1608398131,1,0
1608399034,7,0
1608400230,1,0
1608402028,1,0
1608402630,6,0
1608402930,1,0
1608403535,1,0
1608406231,4,0
1608406528,1,0
1608408035,1,0
1608408932,1,0
1608409834,5,0
1608410130,1,0
1608411634,13,0
1608412831,1,0
1608413433,1,0
1608417332,3,0
1608417629,2,0
1608420030,1,0
1608420631,8,0
1608424234,7,0
1608425131,1,0
1608425435,9,0
1608425728,1,0
1608426036,2,0
1608426931,1,0
1608427831,5,0
1608429633,1,0
1608430534,4,0
1608430831,2,0
1608431434,5,0
1608431729,1,0
1608432028,0,1
1608432330,1,0
1608435032,8,0
1608435327,1,0
1608435932,1,0
1608438631,5,0
1608438928,1,0
1608439232,1,0
1608439830,1,0
1608442234,3,0
1608443133,2,0
1608446128,10,0
1608446733,1,0
1608447030,13,0
1608448830,4,0
1608449434,1,0
1608453031,1,0
1608454838,1,0
1608456029,1,0
1608456633,2,0
1608457534,2,0
1608457832,1,0
1608459631,1,0
1608460233,9,0
1608463840,1,0
1608464128,1,0
1608464731,2,0
1608465929,1,0
1608466228,2,0
1608466529,7,0
1608466830,1,0
1608467433,8,0
1608467728,1,0
1608468331,1,0
1608468631,1,0
1608469830,3,0
1608470129,2,0
1608470728,1,0
1608471033,10,0
1608471629,25,0
1608471934,1,0
1608472230,1,0
1608473130,3,0
1608473429,1,0
1608473732,23,0
1608474030,29,0
1608474327,19,0
1608474633,10,0
1608474930,1,0
1608477029,1,0
1608477331,1,0
1608478231,7,0
1608478528,2,2
1608478829,9,0
1608480333,1,0
1608480630,1,0
1608481831,1,0
1608485434,2,0
1608485730,1,0
1608489032,6,0
1608490232,0,1
1608492329,1,0
1608492634,6,0
1608493534,1,1
1608495331,1,0
1608500130,1,0
1608501031,1,0
1608501329,1,0
1608502829,1,0
1608503434,2,0
1608510634,8,0
1608511830,2,0
1608513333,1,0
1608513930,1,0
1608514239,18,0
1608515133,7,0
1608515431,2,0
1608516035,1,0
1608516932,8,0
1608517834,5,0
1608518734,1,0
1608519031,1,0
1608519637,1,0
1608520229,1,0
1608520533,2,0
1608521434,4,0
1608521728,1,0
1608522332,1,0
1608522630,1,0
1608525034,3,0
1608526231,1,0
1608527731,22,0
1608528633,3,0
1608532232,5,0
1608533135,1,0
1608534034,1,0
1608535230,3,0
1608535835,6,0
1608538830,1,0
1608539433,3,0
1608540029,1,0
1608541235,1,0
1608542430,2,0
1608543032,7,0
1608544232,92,0
1608544832,31,0
1608546330,1,0
1608546632,15,0
1608546928,1,0
1608547830,4,0
1608548129,1,0
1608548433,2,0
1608550233,1,0
1608550829,0,1
1608551134,1,0
1608551430,1,0
1608552933,1,0
1608553834,5,0
1608557434,4,0
1608559236,2,0
1608561032,6,0
1608562230,1,0
1608562836,1,0
1608564634,7,0
1608564929,1,0
1608565231,1,0
1608567628,24,0
1608568231,3,0
1608570632,14,0
1608570933,14,0
1608571231,12,0
1608571529,8,0
1608571833,4,0
1608573031,1,0
1608573637,1,0
1608575436,1,0
1608575729,1,0
1608576629,42,0
1608577234,5,0
1608579033,4,0
1608579328,1,0
1608580230,2,0
1608580528,1,0
1608580836,2,0
1608582632,2,0
1608582928,2,0
1608583832,1,0
1608586231,2,0
1608586529,1,0
1608588629,0,1
1608588931,1,0
1608590430,1,0
1608591030,1,0
1608603630,0,10
1608603929,0,39
1608604235,0,33
1608604529,0,1
1608652530,0,3
1608652835,0,8
1608653430,0,8
1608678334,16,0
1608678629,10,0
1608679230,1,0
1608679832,27,0
1608680128,1,0
1608680730,2,3
1608681032,3,0
1608682230,5,0
1608682537,2,0
1608683129,1,0
1608683432,18,0
1608683729,1,0
1608684332,1,0
1608684633,3,0
1608686430,3,0
1608687032,10,0
1608687631,1,0
1608687934,1,0
1608689132,2,0
1608689733,1,0
1608690330,1,0
1608690631,5,0
1608693330,1,0
1608693631,1,0
1608694231,8,0
1608694528,2,0
1608695133,2,0
1608696932,1,0
1608697230,2,0
1608697831,6,0
1608698733,1,0
1608700530,1,0
1608701129,1,0
1608701432,3,0
1608704431,1,0
1608704729,2,0
1608705328,4,0
1608706229,1,0
1608708030,2,0
1608708632,2,0
1608712231,2,0
1608715231,10,0
1608716129,1,0
1608717030,33,0
1608717329,28,0
1608717636,1,0
1608718831,2,0
1608719431,1,0
1608719729,1,0
1608726928,1,0
1608729030,46,0
1608729330,55,0
1608729630,11,0
1608730230,12,0
1608731728,6,0
1608732033,18,0
1608732629,20,0
1608732931,1,0
1608733839,9,0
1608734429,28,0
1608734730,1,0
1608737434,1,0
1608740135,1,0
1608740431,1,0
1608741039,8,0
1608741933,1,0
1608744329,2,0
1608744635,3,0
1608745534,1,0
1608745832,4,0
1608746438,1,0
1608747029,59,0
1608747630,5,0
1608747929,6,0
1608748237,4,0
1608750931,1,0
1608751230,1,0
1608751531,1,0
1608751837,3,0
1608753636,3,0
1608754530,1,0
1608755438,2,1
1608756629,1,0
1608759036,2,0
1608762632,4,0
1608763532,24,0
1608765330,12,0
1608765928,1,0
1608766234,5,0
1608767135,14,0
1608768933,8,0
1608769833,16,0
1608770430,1,0
1608770731,9,0
1608771034,1,0
1608771636,1,0
1608772532,5,0
1608772833,1,0
1608773438,17,0
1608773728,1,0
1608774334,2,0
1608776133,2,0
1608776431,1,0
1608777032,14,0
1608777934,2,0
1608779731,2,0
1608780032,2,0
1608780631,4,0
1608780929,2,0
1608781531,2,0
1608782735,6,0
1608783031,30,0
1608783631,4,0
1608784233,4,0
1608785132,2,0
1608786037,1,0
1608786629,8,0
1608786934,1,0
1608787230,1,0
1608787831,6,0
