DateTime,AddedIPs,RemovedIPs
1608610055,45,33
1608610774,43,31
1608611082,12,7
1608611494,31,20
1608612215,48,47
1608613014,65,55
1608613654,36,28
1608614374,41,23
1608615095,49,34
1608615889,55,45
1608616535,63,32
1608617255,70,43
1608617786,8,0
1608617974,65,37
1608618488,17,2
1608618695,60,45
1608619414,49,36
1608619700,7,20
1608620134,39,41
1608620855,40,59
1608621574,36,31
1608622294,55,39
1608622578,7,3
1608623014,36,70
1608623734,60,47
1608624527,67,89
1608625175,44,78
1608625895,45,82
1608626419,9,17
1608626615,46,58
1608627334,46,42
1608628054,51,53
1608628359,15,14
1608628775,43,35
1608629495,42,59
1608630290,59,46
1608630934,46,42
1608631654,49,38
1608632222,6,13
1608632375,44,37
1608633155,67,39
1608633814,9156,1070
1608634115,12,10
1608634535,59,34
1608635254,40,50
1608636077,109,68
1608636695,119,46
1608636966,1,0
1608637414,103,53
1608637942,7,11
1608638135,54,41
1608638855,36,43
1608639574,39,66
1608639876,18,8
1608640294,25,64
1608641015,36,44
1608641822,53,43
1608642455,43,53
1608643174,52,41
1608643722,14,5
1608643895,58,37
1608644614,36,31
1608645335,41,40
1608645661,14,15
1608646054,40,39
1608646774,43,67
1608647566,48,66
1608647767,16,3
1608648215,28,31
1608648935,33,37
1608649655,41,36
1608650464,45,47
1608651094,32,32
1608651815,73,47
1608652348,11,10
1608652535,63,46
1608653494,64,32
1608654304,57,45
1608654934,41,44
1608655655,35,58
1608656184,5,10
1608656375,21,33
1608657094,39,32
1608657814,39,47
1608658115,10,7
1608658535,41,32
1608659254,48,28
1608659974,47,28
1608660694,34,42
1608660995,5,23
1608661415,48,35
1608662135,29,33
1608662405,15,8
1608662854,29,43
1608663574,22,29
1608664295,32,46
1608665015,31,45
1608665735,27,37
1608666455,33,34
1608666757,7,42
1608667174,41,34
1608667894,33,32
1608668614,31,19
1608669335,34,35
1608669644,10,11
1608670054,46,19
1608670774,37,26
1608671605,31,33
1608672214,40,44
1608672935,34,32
1608673495,3,0
1608673654,84,32
1608674374,51,69
1608675095,33,69
1608675397,7,12
1608675814,22,45
1608676536,32,38
1608677048,6,3
1608677329,46,40
1608678035,45,32
1608678695,43,30
1608679223,3,13
1608679414,48,45
1608680134,43,31
1608680646,5,0
1608680855,55,44
1608681136,9,8
1608681575,32,38
1608682294,41,34
1608683085,37,39
1608683734,36,35
1608684455,51,45
1608684980,7,6
1608685175,47,32
1608685894,40,45
1608686615,42,35
1608687169,3,7
1608687335,27,75
1608688055,43,41
1608688775,45,52
1608689495,58,74
1608690046,4,5
1608690214,48,83
1608690935,48,68
1608691445,2,0
1608691964,79,91
1608692615,28,64
1608693334,35,62
1608694055,39,51
1608694775,38,48
1608695495,38,29
1608696214,34,33
1608696759,6,23
1608696935,49,38
1608697654,36,24
1608698375,31,34
1608698663,9,2
1608699094,36,44
1608699815,34,52
1608700614,36,33
1608701254,57,53
1608701975,48,38
1608702532,12,12
1608702694,41,56
1608703415,53,59
1608704134,43,57
1608704441,9,0
1608704854,35,54
1608705574,50,45
1608706374,49,54
1608706564,13,3
1608707015,53,35
1608707735,48,35
1608708270,13,12
1608708455,59,38
1608709175,49,44
1608709895,39,53
1608710210,9,17
1608710615,43,50
1608711334,39,48
1608712120,78,63
1608712775,62,47
1608713494,52,38
1608714050,17,11
1608714214,42,51
1608714934,32,40
1608715654,51,35
1608715971,13,13
1608716375,38,45
1608717094,54,44
1608717903,66,48
1608718535,36,55
1608719255,65,39
1608719974,41,57
1608720695,1113,156
1608721216,6,2
1608721415,61,37
1608721709,18,5
1608722135,96,54
1608722855,84,101
1608723661,71,107
1608724352,50,71
1608725014,56,36
1608725554,9,11
1608725735,50,46
1608726454,63,41
1608727175,58,26
1608727482,14,12
1608727894,45,23
1608728614,53,46
1608729427,59,58
1608730055,41,49
1608730775,60,39
1608731339,15,8
1608731494,36,38
1608732215,48,33
1608732934,39,32
1608733228,9,6
1608733654,43,479
1608734374,35,40
1608735094,40,44
1608735872,47,34
1608736102,13,21
1608736534,55,39
1608737255,57,33
1608738072,69,55
1608738694,46,49
1608739415,45,69
1608739942,8,5
1608740134,40,36
1608740854,43,42
1608741575,32,36
1608741864,4,9
1608742295,62,19
1608743015,110,36
1608743899,130,45
1608744454,58,29
1608745174,38,35
1608745986,99,68
1608746614,56,34
1608747335,27,26
1608748054,41,44
1608748853,46,44
1608749495,31,28
1608750215,42,23
1608750490,19,7
1608750776,9,13
1608750935,30,33
1608751655,36,29
1608752374,28,30
1608752663,13,16
1608753095,40,28
1608753814,31,41
1608754621,38,36
1608755255,34,29
1608755974,20,39
1608756503,21,16
1608756694,41,49
1608757654,31,37
1608758375,29,26
1608759095,38,40
1608759397,9,37
1608759815,32,77
1608760534,34,35
1608761341,39,62
1608761974,39,20
1608762695,25,22
1608763241,11,10
1608763414,29,23
1608764135,30,46
1608764855,35,43
1608765147,19,22
1608765575,31,38
1608766295,37,48
1608767089,51,45
1608767734,32,47
1608768022,3,0
1608768694,52,43
1608769003,14,13
1608769415,36,26
1608770134,31,32
1608770929,43,59
1608771575,29,61
1608772295,42,38
1608772826,11,9
1608773015,76,41
1608773735,63,24
1608774454,40,43
1608774765,6,11
1608775174,40,47
1608775894,58,49
1608776719,79,59
1608777334,40,49
1608778054,48,31
1608778601,8,0
1608778803,54,33
1608779495,43,36
1608779768,22,4
1608780215,39,32
1608780508,7,24
1608780935,68,43
1608781654,51,46
1608782448,64,58
1608783095,46,50
1608783814,50,28
1608784370,13,11
1608784774,73,42
1608785494,72,33
1608786291,102,42
1608786935,60,43
1608787655,53,48
1608788186,10,12
1608788375,80,59
1608789094,55,31
1608789815,76,57
1608790097,16,15
1608790535,69,47
1608791254,63,38
1608792042,94,38
1608792695,67,45
1608793415,52,55
1608793933,15,7
1608794134,67,45
1608794406,14,2
1608794855,34,61
1608795574,57,55
1608795856,18,4
1608796295,61,44
1608797014,56,38
1608797807,77,48
1608798455,53,59
1608799175,63,46
1608799715,8,15
1608799895,67,48
1608800614,92,45
1608801334,61,34
1608801613,21,11
1608802055,58,43
1608802775,41,34
1608803550,60,53
1608804215,57,36
1608805054,88,43
1608805655,40,46
1608806375,37,35
1608807094,182,109
1608807383,13,14
1608807815,30,60
1608808534,61,88
1608809047,5,4
1608809254,51,67
1608809974,35,61
1608810694,41,45
1608811235,4,12
1608811415,54,44
1608812135,32,54
1608812855,44,56
1608813131,13,5
1608813575,41,57
1608814295,65,42
1608815113,63,49
1608815734,63,41
1608816454,72,39
1608816973,6,13
1608817176,64,54
1608817895,48,42
1608818615,54,48
1608818904,19,8
1608819335,34,36
1608820055,38,43
1608820840,58,41
1608821495,33,47
1608822215,42,42
1608823174,67,87
1608823689,9,1
1608823894,45,51
1608824686,39,63
1608825336,39,38
1608826055,43,42
1608826579,11,4
1608826774,53,35
1608827495,40,39
1608828214,45,51
1608828744,18,8
1608828935,36,85
1608829654,43,87
1608830374,32,108
1608830695,6,9
1608831095,49,40
1608831814,37,49
1608832614,54,77
1608833254,67,50
1608833974,50,42
1608834500,12,10
1608834694,48,43
1608835414,64,27
1608836134,61,27
1608836431,14,14
1608836854,54,36
1608837574,56,30
1608838382,69,62
1608839014,45,31
1608839734,34,34
1608840268,4,19
1608840455,25,34
1608841174,35,29
1608841894,35,32
1608842198,15,15
1608842614,30,23
1608843335,63,36
1608844127,34,40
1608844774,57,32
1608845494,53,47
1608846041,12,8
1608846214,49,39
1608846935,55,37
1608847655,41,34
1608847943,11,19
1608848374,37,27
1608849095,45,26
1608849893,70,42
1608850534,39,32
1608851255,56,28
1608851803,11,17
1608851975,45,29
1608852695,171,36
1608853211,22,2
1608853415,38,37
1608853713,11,0
1608854135,50,38
1608854855,60,55
1608855364,4,0
1608855682,56,59
1608856295,47,36
1608857014,52,34
1608857552,10,6
1608857735,40,41
1608858455,71,46
1608859175,64,74
1608859475,5,14
1608859895,60,69
1608860615,56,50
1608861394,105,53
1608862055,67,65
1608862775,54,57
1608863304,9,11
1608863494,57,66
1608864215,56,51
1608864935,50,50
1608865655,58,49
1608866404,53,44
1608867095,41,50
1608867874,62,61
1608868535,61,49
1608869090,15,41
1608869255,51,52
1608869974,39,44
1608870695,49,33
1608870969,17,17
1608871414,66,59
1608872135,51,61
1608872928,57,91
1608873575,52,58
1608874295,49,46
1608874832,14,11
1608875014,37,77
1608875734,44,50
1608876454,53,83
1608876737,10,20
1608877175,23,75
1608877895,58,58
1608878681,59,83
1608879335,54,63
1608880054,47,49
1608880578,11,16
1608880775,38,51
1608881494,59,37
1608882215,71,39
1608882491,17,14
1608882935,47,56
1608883655,39,45
1608884480,58,68
1608885094,63,46
1608885814,76,44
1608886332,13,5
1608886535,42,51
1608887255,42,85
1608887975,41,46
1608888694,43,36
1608889217,12,4
1608889415,39,34
1608890135,48,38
1608890854,47,49
1608891137,12,12
1608891574,39,76
1608892295,38,43
1608893081,77,62
1608893735,78,347
1608894455,39,34
1608894987,13,9
1608895175,55,40
