DateTime,AddedIPs,RemovedIPs
1608423724,1,0
1608424924,2,0
1608425523,3,0
1608426124,2,0
1608427324,4,0
1608428524,6,0
1608429724,4,0
1608430323,1,0
1608432124,1,0
1608433923,3,0
1608435724,8,0
1608436923,3,0
1608438123,3,0
1608438724,4,0
1608439323,1,0
1608441724,2,0
1608442323,1,0
1608442923,4,0
1608444123,2,0
1608444723,1,0
1608445924,5,0
1608446523,6,0
1608447723,2,0
1608448923,5,0
1608450123,4,0
1608451324,4,0
1608452523,10,0
1608453723,4,0
1608454923,3,0
1608456124,6,0
1608457323,14,0
1608458523,5,0
1608459723,4,0
1608460923,3,0
1608461523,1,0
1608462123,1,0
1608463323,4,1
1608463923,1,1
1608464524,2,0
1608465124,1,0
1608465723,1,0
1608466324,3,0
1608467524,2,0
1608468123,1,0
1608469323,1,0
1608470523,3,0
1608471123,3,0
1608472923,2,0
1608473524,1,0
1608474723,2,0
1608475323,3,0
1608476523,6,0
1608477723,2,0
1608478924,4,0
1608479523,21,0
1608480123,4,1
1608480723,1,0
1608481323,1,0
1608482523,4,0
1608484923,4,0
1608486124,2,0
1608487324,3,0
1608488524,6,0
1608489124,1,0
1608489724,3,0
1608490923,3,0
1608492123,1,0
1608494523,4,0
1608495724,12,0
1608496323,1,0
1608496923,0,1
1608498123,6,0
1608498723,2,0
1608499323,5,0
1608499923,10,0
1608500523,3,0
1608501723,1,0
1608502923,14,0
1608503523,5,0
1608504123,8,0
1608506523,9,0
1608507723,2,0
1608508323,3,0
1608509523,2,0
1608510123,2,0
1608511323,8,1
1608512523,2,0
1608514923,6,0
1608516123,7,0
1608517323,3,0
1608518523,5,0
1608519723,5,0
1608520923,5,0
1608521523,1,0
1608522123,1,0
1608522723,1,0
1608523323,3,0
1608524523,5,0
1608525123,1,0
1608525723,6,1
1608526924,22,0
1608527523,0,1
1608528123,6,0
1608529323,3,0
1608530523,3,0
1608531723,3,0
1608532923,3,0
1608534123,3,0
1608535323,1,0
1608536523,5,0
1608537723,7,0
1608538923,4,0
1608540123,6,0
1608541323,5,0
1608542524,14,0
1608543723,11,0
1608544323,5,0
1608544924,8,0
1608545523,2,1
1608546723,9,0
1608547923,4,0
1608548523,6,0
1608549723,2,0
1608550923,4,0
1608552123,4,0
1608552723,3,0
1608553323,3,0
1608554523,4,0
1608555723,6,0
1608556923,2,0
1608558123,3,0
1608559323,5,0
1608559923,4,0
1608561124,3,0
1608561724,6,0
1608562923,2,0
1608563523,1,0
1608564124,5,0
1608564723,3,0
1608565923,5,0
1608566523,5,1
1608567124,4,0
1608567723,2,0
1608568923,6,0
1608570123,3,0
1608571323,9,0
1608571924,1,0
1608572524,4,1
1608573124,1,0
1608573723,5,0
1608574924,1,0
1608575524,1,0
1608576123,3,1
1608577323,2,1
1608577923,3,0
1608578524,1,1
1608579124,2,0
1608579723,4,0
1608580323,0,1
1608580923,2,0
1608581523,1,1
1608582124,1,0
1608583323,6,0
1608584523,2,0
1608585123,1,0
1608585723,5,0
1608586923,1,0
1608588123,2,0
1608588723,2,0
1608589323,5,0
1608589923,3,0
1608590523,10,0
1608591723,1,0
1608592923,0,1
1608594124,4,0
1608595323,5,0
1608596523,4,0
1608597723,2,0
1608598924,3,0
1608599524,10,0
1608600123,1,0
1608600724,8,0
1608602523,3,0
1608603723,3,0
1608604923,4,0
1608606124,4,0
1608607324,2,0
1608607924,1,0
1608608524,4,0
1608609723,3,0
1608610923,1,0
