DateTime,Entries,UniqueIPs
1607932821,8668,8668
1607934750,8662,8662
1607936648,8678,8678
1607938564,8675,8675
1607940512,8675,8675
1607942412,8676,8676
1607944324,4936,4936
1607946272,4965,4965
1607948172,6540,6540
1607950088,6563,6563
1607952030,6621,6621
1607953925,6644,6644
1607955844,6631,6631
1607957788,6631,6631
1607959689,6642,6642
1607961614,6643,6643
1607963562,6691,6691
1607965451,6739,6739
1607967363,6757,6757
1607969310,6769,6769
1607971206,6827,6827
1607973127,6886,6886
1607975073,6936,6936
1607977208,6999,6999
1607979123,7086,7086
1607981071,7129,7129
1607982963,7123,7123
1607984886,7156,7156
1607986846,7123,7123
1607988729,7169,7169
1607990914,8517,8517
1607992844,8560,8560
1607994749,8632,8632
1607996675,8697,8697
1607998609,8724,8724
1608000516,8738,8738
1608002438,8759,8759
1608004382,8803,8803
1608006311,8814,8814
1608008259,8844,8844
1608010114,8880,8880
1608012133,8861,8861
1608013952,8876,8876
1608015851,8882,8882
1608017799,8889,8889
1608019745,8911,8911
1608021628,8934,8934
1608023535,8947,8947
1608025494,8950,8950
1608027388,8971,8971
1608029305,8980,8980
1608031246,4542,4542
1608033229,4526,4526
1608035070,6553,6553
1608036968,6524,6524
1608038889,6522,6522
1608040843,6524,6524
1608042731,6548,6548
1608044665,6571,6571
1608046612,6581,6581
1608048523,6545,6545
1608050444,6565,6565
1608052374,6527,6527
1608054265,6517,6517
1608056233,6481,6481
1608058105,6544,6544
1608060065,6557,6557
1608061949,6564,6564
1608063900,6563,6563
1608065797,6592,6592
1608067728,6596,6596
1608069655,6664,6664
1608071545,6688,6688
1608073470,6696,6696
1608075415,6705,6705
1608077551,8436,8436
1608079517,8419,8419
1608081382,8375,8375
1608083313,8363,8363
1608085280,8365,8365
1608087149,8416,8416
1608089060,8408,8408
1608091027,8432,8432
1608092894,8435,8435
1608094823,8431,8431
1608096748,8431,8431
1608098660,8439,8439
1608100594,8470,8470
1608102520,8451,8451
1608104475,8427,8427
1608106343,8414,8414
1608108286,8382,8382
1608110175,8362,8362
1608112116,8385,8385
1608114011,8435,8435
1608115926,8415,8415
1608117877,4367,4367
1608119769,4395,4395
1608121696,6322,6322
1608123648,6294,6294
1608125534,6293,6293
1608127450,6278,6278
1608129392,6281,6281
1608131314,6293,6293
1608133240,6297,6297
1608135194,6294,6294
1608137084,6341,6341
1608139004,6357,6357
1608140942,6383,6383
1608142871,6426,6426
1608144824,6457,6457
1608146648,6478,6478
1608148596,6506,6506
1608150730,6494,6494
1608152649,6520,6520
1608154588,6564,6564
1608156486,6552,6552
1608158405,6534,6534
1608160350,6515,6515
1608162248,6546,6546
1608164164,8166,8166
1608166107,8137,8137
1608168005,8075,8075
1608169926,8033,8033
1608172119,8051,8051
1608174010,8062,8062
1608175952,8060,8060
1608177854,8047,8047
1608179770,8069,8069
1608181709,8078,8078
1608183608,8098,8098
1608185526,8144,8144
1608187470,8184,8184
1608189369,8232,8232
1608191284,8257,8257
1608193227,8249,8249
1608195125,8241,8241
1608197050,8260,8260
1608198986,8246,8246
1608200889,8230,8230
1608202836,4366,4366
1608204725,4382,4382
1608206647,6203,6203
1608208830,6238,6238
1608210724,6264,6264
1608212647,6324,6324
1608214588,6359,6359
1608216485,6389,6389
1608218405,6403,6403
1608220348,6411,6411
1608222248,6436,6436
1608224166,6460,6460
1608226111,6494,6494
1608228007,6494,6494
1608229923,6483,6483
1608231873,6501,6501
1608233764,6534,6534
