DateTime,AddedIPs,RemovedIPs
1608418923,1,3
1608420123,2,3
1608421323,6,1
1608422523,1,3
1608423724,4,1
1608424924,3,0
1608425523,3,16
1608426124,5,0
1608427324,4,11
1608428524,5,3
1608429724,3,0
1608430323,2,0
1608432124,2,9
1608432724,1,0
1608433923,4,5
1608435724,4,0
1608436923,3,0
1608438123,3,9
1608438724,4,0
1608439323,2,3
1608440523,2,1
1608441724,4,0
1608442323,1,1
1608442923,4,7
1608444123,3,2
1608445323,4,0
1608445924,2,0
1608446523,7,2
1608447723,2,0
1608448923,6,9
1608450123,3,3
1608451324,4,0
1608452523,3,3
1608453123,1,1
1608453723,1,0
1608454923,2,1
1608456124,7,1
1608457323,15,0
1608458523,5,3
1608459723,4,1
1608460923,5,11
1608461523,1,0
1608462123,1,0
1608463323,2,5
1608463923,2,1
1608464524,2,0
1608465124,1,3
1608465723,3,0
1608466324,4,4
1608467524,3,6
1608468123,2,0
1608468723,0,2
1608469323,1,0
1608470523,4,9
1608471123,5,1
1608471723,2,1
1608472323,1,1
1608473524,1,0
1608474723,3,1
1608475323,3,7
1608476523,6,1
1608477723,3,0
1608478924,4,4
1608480123,5,7
1608480723,2,0
1608481323,1,0
1608482523,3,22
1608483724,1,0
1608484923,5,3
1608486124,4,2
1608487324,2,6
1608488524,9,0
1608489124,1,4
1608489724,3,1
1608490923,2,0
1608492123,1,4
1608493923,1,0
1608494523,5,1
1608495724,1,1
1608496323,1,14
1608496923,9,1
1608498123,0,1
1608498723,2,0
1608499323,5,0
1608499923,13,2
1608500523,3,13
1608502923,19,1
1608503523,8,0
1608504123,8,3
1608506523,11,19
1608507723,4,0
1608508323,3,5
1608510123,4,4
1608511323,10,1
1608512523,2,0
1608513723,1,0
1608514923,6,10
1608516123,6,0
1608517323,5,1
1608518523,5,1
1608519723,7,2
1608520923,5,1
1608521523,3,0
1608522723,3,2
1608523323,4,2
1608524523,7,2
1608525123,1,15
1608525723,5,0
1608526323,2,7
1608527523,5,1
1608528123,4,1
1608529323,3,0
1608530523,3,0
1608531723,3,16
1608532923,6,3
1608534123,4,4
1608535323,2,1
1608536523,3,6
1608537723,10,3
1608538923,7,2
1608540123,5,1
1608541323,6,0
1608542524,13,23
1608543723,13,0
1608544323,7,6
1608544924,13,0
1608545523,4,14
1608546723,9,1
1608547923,3,1
1608548523,8,0
1608549723,3,9
1608550923,5,2
1608552123,5,0
1608552723,4,0
1608553323,2,0
1608554523,4,4
1608555723,7,7
1608556923,4,0
1608558123,3,5
1608559323,5,0
1608559923,6,2
1608561124,5,1
1608561724,7,2
1608562923,3,0
1608563523,1,0
1608564124,6,1
1608564723,2,1
1608565923,6,1
1608566523,1,4
1608567124,5,0
1608567723,2,6
1608568923,7,3
1608570123,4,0
1608571323,7,1
1608571924,1,9
1608572524,10,0
1608573124,1,0
1608573723,7,5
1608574924,1,3
1608575524,3,14
1608576123,4,2
1608576723,3,18
1608577923,3,0
1608578524,3,0
1608579124,2,1
1608579723,3,0
1608580923,3,1
1608581523,1,0
1608582124,3,1
1608583323,11,16
1608584523,2,0
1608585723,5,0
1608586923,1,3
1608588123,5,0
1608589323,5,2
1608589923,4,1
1608590523,2,9
1608591723,1,0
1608592323,1,2
1608592923,0,12
1608594124,3,0
1608595323,3,15
1608595923,3,8
1608597723,2,1
1608598924,3,0
1608599524,12,4
1608600123,1,0
1608600724,7,0
1608601324,1,2
1608602523,2,2
1608603723,2,4
1608604923,4,1
1608606124,2,0
1608607324,2,0
1608607924,1,0
1608608524,4,0
1608609723,1,9
1608610923,2,5
1608612124,2,9
1608613323,3,0
1608614523,2,5
1608615723,1,0
1608616924,6,1
1608618123,2,2
1608619323,3,0
1608620524,2,6
1608621724,2,0
1608622324,2,0
1608622924,1,0
1608624123,4,0
1608625323,3,1
1608626524,3,1
1608627723,3,3
1608628924,4,9
1608630123,4,0
1608631324,3,4
1608631924,2,0
1608632524,1,0
1608633724,5,12
1608634323,6,4
1608634924,4,0
1608635524,2,10
1608636123,2,4
1608637324,4,1
1608638524,1,2
1608639123,0,6
1608639723,2,1
1608640923,0,9
1608642124,3,3
1608642723,3,0
1608643324,2,1
1608643924,1,2
1608644524,0,1
1608645124,2,0
1608645723,1,0
1608646923,1,1
1608647524,1,0
1608648123,2,0
1608649324,2,0
1608650524,2,1
1608651723,4,2
1608652324,6,3
1608653524,7,0
1608654124,3,8
1608654725,1,1
1608655924,3,2
1608657123,1,1
1608658324,3,0
1608658924,1,19
1608660124,1,0
1608661323,8,4
1608662524,1,4
1608663723,4,0
1608664924,6,3
1608666123,2,0
1608667324,7,0
1608668524,15,1
1608669724,5,11
1608670323,5,5
1608670923,15,4
1608672124,0,16
1608672724,4,0
1608673323,3,0
1608674524,3,1
1608675123,6,0
1608675724,5,12
1608676924,25,4
1608678124,1,0
1608679324,5,9
1608680524,4,2
1608681124,2,1
1608681724,3,0
1608682924,3,2
1608683525,49,0
1608685324,4,4
1608685923,2,2
1608686524,0,2
1608687724,4,1
1608688323,0,2
1608688924,4,0
1608690124,3,3
1608690724,3,0
1608691324,2,7
1608692524,4,0
1608693724,1,5
1608694924,2,4
1608696124,4,2
1608697324,1,18
1608698524,9,7
1608699723,3,0
1608700924,6,5
1608702123,1,10
1608702724,2,3
1608703924,11,0
1608704524,1,4
1608705124,4,0
1608705724,57,10
1608706924,3,1
1608707524,3,0
1608708124,2,0
1608709324,4,16
1608710524,2,5
1608712924,3,4
1608713524,3,0
1608715324,0,1
1608716523,0,4
1608717723,2,0
1608718324,3,0
1608718924,5,9
1608720124,4,2
1608721324,4,6
1608721924,1,0
1608723124,4,8
1608723723,3,2
1608724924,2,3
1608725523,1,0
1608726724,1,3
1608727323,3,0
1608727924,3,0
1608728523,5,0
1608729123,0,2
1608729723,1,1
1608730924,23,0
1608732124,1,6
1608733323,1,0
1608734523,1,1
1608735124,20,0
1608735724,3,0
1608736323,1,1
1608736924,1,2
1608738123,5,1
1608739324,44,7
1608740523,16,29
1608741723,5,11
1608742923,13,3
1608744123,3,2
1608744724,11,0
1608745323,4,0
1608746523,9,9
1608747123,9,0
1608747724,9,4
1608748324,10,23
1608748923,7,1
1608750123,8,4
1608751323,24,5
1608752524,3,0
1608753123,6,8
1608753723,4,0
1608754323,7,0
1608754923,1,0
1608755524,0,12
1608756723,5,3
1608757324,1,6
1608757923,2,0
1608758524,4,1
1608759723,8,0
1608760923,6,3
1608762123,9,0
1608763324,8,0
1608763923,11,0
1608764524,1,0
1608765723,5,18
1608766324,9,0
1608766924,1,0
1608767523,6,3
1608768124,4,0
1608769323,1,0
1608769924,8,0
1608770524,5,1
1608771724,14,0
1608772323,5,5
1608772924,9,11
1608774124,6,1
1608775323,5,12
1608776524,4,2
1608777724,4,0
1608778324,2,11
1608778924,5,0
1608780124,4,0
1608780724,1,4
1608781923,3,1
1608782524,10,0
1608783123,5,3
1608784324,4,0
1608784923,5,0
1608786123,1,11
1608787323,5,1
1608788524,6,7
1608789723,3,0
1608790924,1,10
1608792124,4,4
1608793323,1,10
1608794524,2,0
1608795123,2,1
1608795724,3,3
1608796924,2,6
1608797523,2,2
1608798123,3,3
1608799323,3,0
1608799924,1,1
1608800524,2,0
1608801123,2,6
1608801723,2,0
1608802923,3,1
1608804124,1,8
1608805324,2,6
1608805924,1,0
1608806523,1,1
1608807724,4,1
1608808923,8,0
1608810124,0,8
1608811324,4,2
1608812523,3,3
1608813724,3,3
1608814923,3,0
1608815524,1,1
1608816123,2,0
1608816724,2,10
1608817323,0,2
1608818523,3,4
1608819723,2,8
1608820924,1,2
1608821524,1,6
1608822124,3,0
1608823324,0,7
1608823924,1,0
1608825724,2,10
1608826923,1,3
1608828124,2,13
1608828723,2,0
1608829924,5,1
1608830524,1,0
1608831124,9,3
1608831724,2,0
1608832323,1,0
1608832923,2,5
1608833524,3,1
1608834124,3,0
1608834724,4,3
1608835323,5,15
1608837724,2,10
1608838924,1,2
1608840123,1,8
1608841324,3,1
1608842523,4,2
1608843724,6,3
1608844323,1,7
1608844923,3,3
1608846124,4,0
1608848523,4,4
1608849723,3,6
1608850924,9,12
1608851523,6,0
1608852123,7,21
1608852724,4,1
1608854524,7,8
1608855724,2,0
1608856923,2,0
1608858123,2,6
1608859324,5,12
1608860524,2,0
1608861723,0,18
1608862924,3,18
1608863524,1,0
1608864124,4,4
1608865324,3,5
1608865924,4,6
1608866524,2,0
1608867724,2,3
1608868324,1,0
1608868924,0,3
1608870123,2,8
1608870724,3,0
1608871323,3,9
1608872523,1,0
1608874924,0,3
1608875523,5,0
1608876124,3,6
1608877324,5,3
1608877924,6,0
1608878524,2,1
1608879123,2,0
1608879726,3,8
1608881524,0,1
1608882123,3,0
1608883323,2,2
1608884523,3,6
1608885724,4,22
1608886324,5,13
1608886923,1,3
1608888124,3,1
1608888725,3,0
1608889924,1,10
1608890524,3,0
1608891124,4,1
1608891723,2,8
1608892924,4,0
1608893524,0,1
1608894124,5,18
1608895324,7,0
