DateTime,Entries,UniqueIPs
1608315724,2577,2624
1608316923,2577,2624
1608318124,2575,2623
1608319324,2570,2618
1608319923,2570,2618
1608321724,2551,2598
1608322323,2552,2599
1608322923,2535,2582
1608324123,2529,2576
1608324723,2527,2574
1608325323,2525,2572
1608326523,2521,2568
1608327723,2521,2569
1608328924,2517,2565
1608330124,2520,2568
1608330724,2522,2570
1608332523,2525,2573
1608333123,2524,2572
1608334324,2546,2594
1608334923,2547,2595
1608336123,2546,2594
1608337324,2542,2590
1608338524,2545,2593
1608339724,2540,2587
1608340324,2541,2588
1608340923,2538,2585
1608341524,2538,2586
1608342723,2540,2589
1608344524,2541,2589
1608346924,2540,2588
1608348123,2555,2602
1608348724,2556,2603
1608349923,2554,2601
1608351123,2553,2600
1608352324,2552,2599
1608352923,2551,2598
1608354124,2554,2601
1608355324,2542,2589
1608356524,2543,2591
1608357124,2541,2589
1608357724,2539,2587
1608358924,2538,2586
1608361324,2538,2586
1608362524,2540,2588
1608363724,2545,2593
1608364324,2545,2593
1608364923,2546,2594
1608366123,2555,2603
1608366723,2559,2607
1608367324,2558,2606
1608367923,2549,2597
1608369123,2551,2599
1608369723,2533,2581
1608370323,2534,2582
1608371523,2530,2578
1608372123,2528,2576
1608375123,2530,2578
1608376323,2530,2578
1608376924,2526,2574
1608379323,2507,2555
1608380523,2508,2556
1608381724,2510,2558
1608384123,2509,2556
1608385324,2510,2557
1608387723,2509,2556
1608388323,2506,2553
1608392523,2505,2552
1608393724,2505,2552
1608394923,2506,2553
1608396123,2504,2551
1608397323,2504,2551
1608402123,2505,2552
1608404523,2504,2551
1608405723,2498,2545
1608406323,2530,2577
1608407523,2529,2576
1608410523,2531,2578
1608411124,2526,2573
1608412324,2525,2572
1608412923,2526,2573
1608414123,2522,2569
1608414723,2520,2565
1608416523,2521,2566
1608417124,2519,2564
1608417723,2520,2565
1608418323,2519,2564
1608420723,2520,2565
1608421323,2521,2566
1608422523,2517,2562
1608423724,2514,2559
1608425523,2509,2554
1608427324,2512,2557
1608428524,2496,2540
1608429724,2464,2508
1608430923,2465,2509
1608432124,2464,2507
1608432724,2461,2504
1608433923,2460,2503
1608434523,2458,2501
1608435724,2468,2513
1608436324,2466,2511
1608438123,2467,2512
1608438724,2466,2511
1608440523,2460,2505
1608441724,2457,2503
1608443523,2454,2500
1608444723,2455,2501
1608445924,2452,2497
1608446523,2452,2497
1608448923,2448,2493
1608450123,2450,2495
1608451324,2449,2493
1608452523,2463,2507
1608453723,2464,2508
1608456124,2463,2506
1608457323,2464,2506
1608458523,2464,2506
1608459723,2465,2507
1608460923,2462,2504
1608461523,2461,2503
1608462123,2462,2504
1608463323,2462,2502
1608464524,2459,2499
1608465723,2458,2498
1608470523,2456,2496
1608472923,2458,2498
1608474723,2458,2498
1608476523,2457,2497
1608479523,2509,2549
1608481323,2505,2545
1608482523,2508,2548
1608483724,2501,2540
1608484923,2502,2541
1608486124,2501,2540
1608487324,2499,2538
1608487924,2499,2539
1608489124,2501,2541
1608489724,2499,2539
1608490923,2502,2542
1608491523,2501,2541
1608492724,2499,2538
1608494523,2501,2540
1608495724,2532,2571
1608496923,2527,2566
1608499323,2520,2559
1608501723,2518,2556
1608502324,2517,2555
1608503523,2519,2557
1608505323,2516,2554
1608506523,2506,2544
1608508323,2503,2540
1608509523,2504,2541
1608510123,2502,2539
1608511323,2501,2537
1608512523,2502,2538
1608513723,2500,2536
1608516123,2491,2527
1608516723,2488,2523
1608517923,2486,2521
1608519723,2480,2515
1608520923,2477,2512
1608521523,2477,2512
1608522123,2476,2511
1608523323,2474,2509
1608525123,2471,2506
1608525723,2473,2508
1608526924,2514,2549
1608528123,2515,2550
1608529323,2508,2543
1608529923,2510,2545
1608530523,2508,2543
1608532923,2510,2545
1608534123,2511,2546
1608536523,2511,2546
1608537723,2512,2547
1608540123,2511,2546
1608541323,2513,2548
1608542524,2518,2553
1608543723,2515,2551
1608544323,2516,2552
1608545523,2511,2547
1608547323,2506,2541
1608547922,2508,2543
1608548523,2509,2544
1608549723,2504,2539
1608550923,2502,2537
1608552123,2500,2535
1608553323,2501,2536
1608554523,2497,2532
1608555723,2496,2531
1608558123,2498,2533
1608559323,2499,2534
1608559923,2496,2531
1608561724,2498,2533
1608562923,2497,2532
1608563523,2497,2532
1608564723,2500,2535
1608566523,2520,2556
1608567723,2521,2556
1608568923,2517,2552
1608571323,2518,2553
1608572524,2519,2554
1608573124,2520,2555
1608574924,2513,2548
1608576123,2511,2546
1608577923,2509,2544
1608579124,2510,2545
1608580323,2509,2543
