DateTime,AddedIPs,RemovedIPs
1608438724,8,8
1608439323,6,6
1608440523,13,13
1608441724,8,8
1608442323,5,5
1608443523,8,8
1608444723,9,9
1608445323,3,3
1608445924,5,5
1608446523,7,7
1608447723,6,6
1608448923,12,12
1608450123,15,15
1608451324,12,12
1608452523,42,42
1608453723,24,24
1608454923,20,20
1608456124,13,13
1608457323,20,20
1608458523,9,9
1608459723,10,10
1608460923,5,5
1608461523,4,4
1608462123,6,6
1608463323,13,13
1608463923,5,5
1608464524,3,3
1608465723,5,5
1608466923,4,4
1608468123,5,5
1608468723,7,7
1608469323,6,6
1608470523,11,11
1608471123,6,6
1608472323,14,14
1608472923,8,8
1608473523,10,10
1608474723,14,14
1608475323,11,11
1608476523,14,14
1608477123,6,6
1608477723,13,13
1608478323,14,14
1608479523,94,94
1608480123,4,4
1608480723,33,33
1608481323,6,6
1608482523,36,36
1608483724,21,21
1608484923,27,27
1608485523,17,17
1608486124,8,8
1608487324,13,13
1608487924,20,20
1608489124,20,20
1608489724,6,6
1608490923,16,16
1608491523,14,14
1608492724,14,14
1608493323,6,6
1608493923,7,7
1608494523,18,18
1608495724,72,72
1608496923,23,23
1608498123,8,8
1608499323,19,19
1608499923,13,13
1608500523,7,7
1608501723,11,11
1608502324,12,12
1608503523,23,23
1608504123,16,16
1608505323,18,18
1608506523,14,14
1608507723,12,12
1608508323,6,6
1608509523,22,22
1608510123,10,10
1608511323,16,16
1608512523,29,29
1608513723,18,18
1608514923,15,15
1608516123,10,10
1608516723,8,8
1608517923,15,15
1608518523,11,11
1608519723,15,15
1608520923,10,10
1608521523,8,8
1608522123,8,8
1608523323,11,11
1608524523,7,7
1608525123,7,7
1608525723,4,4
1608526924,92,92
1608527523,10,10
1608528123,12,12
1608529323,16,16
1608529923,7,7
1608530523,9,9
1608531723,12,12
1608532923,15,15
1608534123,13,13
1608535323,13,13
1608536523,15,15
1608537723,21,21
1608538923,16,16
1608540123,15,15
1608541323,18,18
1608542524,22,22
1608543723,32,32
1608544323,16,16
1608545523,14,14
1608546123,10,10
1608547323,21,21
1608547922,8,8
1608548523,8,8
1608549723,7,7
1608550923,10,10
1608552123,7,7
1608552723,2,2
1608553323,4,4
1608554523,12,12
1608555723,6,6
1608556923,9,9
1608558123,24,24
1608559323,13,13
1608559923,3,3
1608560523,7,7
1608561724,10,10
1608562923,13,13
1608563523,7,7
1608564723,9,9
1608565323,6,6
1608565923,5,5
1608566523,47,47
1608567124,10,10
1608567723,8,8
1608568923,7,7
1608569523,4,4
1608570123,6,6
1608571323,17,17
1608572524,10,10
1608573124,7,7
1608573723,9,9
1608574924,11,11
1608575524,3,3
1608576123,7,7
1608576723,5,5
1608577323,11,11
1608577923,4,4
1608579124,9,9
1608579723,8,8
1608580323,11,11
1608580923,4,4
1608581523,8,8
1608582124,7,7
1608583323,12,12
1608583923,7,7
1608585123,13,13
1608586324,19,19
1608586923,15,15
1608587524,7,7
1608588723,42,42
1608589323,28,28
1608589923,12,12
1608590523,34,34
1608591723,12,12
1608592923,19,19
1608594124,22,22
1608595323,45,46
1608596523,15,15
1608597124,15,15
1608597723,18,18
1608598924,21,20
1608599523,8,8
1608600123,13,13
1608600724,18,18
1608601324,16,16
1608602523,18,18
1608603723,16,16
1608604923,10,10
1608606124,24,24
1608607324,13,13
1608607924,11,11
1608608524,27,27
1608609723,16,16
1608610923,31,31
1608612124,17,17
1608613323,30,30
1608614523,15,15
1608615723,29,29
1608616324,12,12
1608617524,24,24
1608618123,23,23
1608619323,16,16
1608620524,19,19
1608621123,10,10
1608621724,9,9
1608622924,11,11
1608624123,23,23
1608624723,9,9
1608625323,11,11
1608626524,44,44
1608627123,14,14
1608628323,16,16
1608628924,10,10
1608630123,15,15
1608630724,6,6
1608631324,14,14
1608631924,11,11
1608632524,13,13
1608633123,12,12
1608634323,37,37
1608634924,20,20
1608636123,22,22
1608637323,28,28
1608637923,12,12
1608638524,4,4
1608639123,9,9
1608639723,8,8
1608640324,16,16
1608641524,14,14
1608642124,8,8
1608642723,10,10
1608643324,16,16
1608643924,15,15
1608644524,20,20
1608645124,6,6
1608645723,6,6
1608646923,14,14
1608647524,7,7
1608648723,19,19
1608649324,9,9
1608649923,17,17
1608650524,7,7
1608651123,5,5
1608651723,9,9
1608652924,14,14
1608653523,8,8
1608654725,12,12
1608655924,19,19
1608656524,11,11
1608657123,8,8
1608658324,11,11
1608658924,12,12
1608660124,11,11
1608661323,13,13
1608662524,8,8
1608663723,26,26
1608664924,21,21
1608666123,19,19
1608667324,26,26
1608667924,19,19
1608669124,25,25
1608670323,21,21
1608670923,11,11
1608671523,14,14
1608672724,38,38
1608673323,9,9
1608674524,21,21
1608675123,6,6
1608675723,6,6
1608676325,6,6
1608677523,10,10
1608678723,21,21
1608679324,20,20
1608679925,12,12
1608681124,21,21
1608682323,22,22
1608682924,13,13
1608684124,31,31
1608684724,8,8
1608685324,21,21
1608686524,20,20
1608687724,29,29
1608688323,7,7
1608688924,13,13
1608690124,84,84
1608690724,13,13
1608691324,25,25
1608692524,28,28
1608693724,35,35
1608694324,5,5
1608695523,23,23
1608696124,6,6
1608697324,15,15
1608697925,4,4
1608699124,18,18
1608699723,4,4
1608700924,15,15
1608702123,17,17
1608703324,17,17
1608703924,11,11
1608705124,36,36
1608705724,5,5
1608706924,17,17
1608707524,7,7
1608708724,23,23
1608709925,12,12
1608711124,11,11
1608712324,34,34
1608712924,4,4
1608713524,11,11
1608714123,7,7
1608715324,22,22
1608715924,17,17
1608716523,9,9
1608717723,19,19
1608718324,12,12
1608719525,71,71
1608720124,11,11
1608721324,22,22
1608722524,23,23
1608723124,10,10
1608724323,17,17
1608724924,12,12
1608725523,9,9
1608726123,10,10
1608726724,17,17
1608727323,10,10
1608727924,19,19
1608728523,19,19
1608729123,7,7
1608729723,11,11
1608730924,16,16
1608732124,9,9
1608732723,4,4
1608733925,11,11
1608734523,6,6
1608735724,14,14
1608736924,10,10
1608738123,92,92
1608739323,26,26
1608739923,13,13
1608740523,9,9
1608741123,11,11
1608742324,18,18
1608742923,13,13
1608743524,18,18
1608744724,26,26
1608745323,21,21
1608745923,7,7
1608747123,22,22
1608747724,7,7
1608748324,12,12
1608749524,15,15
1608750724,26,26
1608751323,5,5
1608752524,15,15
1608754323,47,47
1608755524,19,19
1608756123,20,20
1608756723,7,7
1608758524,20,20
1608759723,20,20
